Running GRASP algorithm...
Seconds: 0, Iteration: 10, Iteration per second: Infinity, Best solution: 141132 found at 0s
Seconds: 1, Iteration: 20, Iteration per second: 20.000000, Best solution: 142032 found at 0s
Seconds: 1, Iteration: 30, Iteration per second: 30.000000, Best solution: 142032 found at 0s
Seconds: 1, Iteration: 40, Iteration per second: 40.000000, Best solution: 142172 found at 1s
Seconds: 2, Iteration: 50, Iteration per second: 25.000000, Best solution: 142210 found at 1s
Seconds: 2, Iteration: 60, Iteration per second: 30.000000, Best solution: 142310 found at 2s
Seconds: 2, Iteration: 70, Iteration per second: 35.000000, Best solution: 142358 found at 2s
Seconds: 3, Iteration: 80, Iteration per second: 26.666667, Best solution: 142358 found at 2s
Seconds: 3, Iteration: 90, Iteration per second: 30.000000, Best solution: 142358 found at 2s
Seconds: 3, Iteration: 100, Iteration per second: 33.333333, Best solution: 142358 found at 2s
Seconds: 4, Iteration: 110, Iteration per second: 27.500000, Best solution: 142396 found at 4s
Seconds: 4, Iteration: 120, Iteration per second: 30.000000, Best solution: 142403 found at 4s
Seconds: 5, Iteration: 130, Iteration per second: 26.000000, Best solution: 142403 found at 4s
Seconds: 5, Iteration: 140, Iteration per second: 28.000000, Best solution: 142403 found at 4s
Seconds: 5, Iteration: 150, Iteration per second: 30.000000, Best solution: 142403 found at 4s
Seconds: 6, Iteration: 160, Iteration per second: 26.666667, Best solution: 142403 found at 4s
Seconds: 6, Iteration: 170, Iteration per second: 28.333333, Best solution: 142443 found at 6s
Seconds: 7, Iteration: 180, Iteration per second: 25.714286, Best solution: 142459 found at 6s
Seconds: 7, Iteration: 190, Iteration per second: 27.142857, Best solution: 142461 found at 7s
Seconds: 7, Iteration: 200, Iteration per second: 28.571429, Best solution: 142461 found at 7s
Seconds: 8, Iteration: 210, Iteration per second: 26.250000, Best solution: 142461 found at 7s
Seconds: 8, Iteration: 220, Iteration per second: 27.500000, Best solution: 142461 found at 7s
Seconds: 9, Iteration: 230, Iteration per second: 25.555556, Best solution: 142461 found at 7s
Seconds: 9, Iteration: 240, Iteration per second: 26.666667, Best solution: 142461 found at 7s
Seconds: 9, Iteration: 250, Iteration per second: 27.777778, Best solution: 142461 found at 7s
Seconds: 10, Iteration: 260, Iteration per second: 26.000000, Best solution: 142461 found at 7s
Seconds: 10, Iteration: 270, Iteration per second: 27.000000, Best solution: 142461 found at 7s
Seconds: 11, Iteration: 280, Iteration per second: 25.454545, Best solution: 142461 found at 7s
