Running GRASP algorithm...
Running with 31 threads (Available processors: 31).
Seconds: 0, Total Iterations: 100, Iteration per second: Infinity, Best solution: 386120 found at 0s
Seconds: 1, Total Iterations: 200, Iteration per second: 200.000000, Best solution: 387487 found at 1s
Seconds: 1, Total Iterations: 300, Iteration per second: 300.000000, Best solution: 387821 found at 1s
Seconds: 1, Total Iterations: 400, Iteration per second: 400.000000, Best solution: 388004 found at 1s
Seconds: 1, Total Iterations: 500, Iteration per second: 500.000000, Best solution: 388142 found at 1s
Seconds: 1, Total Iterations: 600, Iteration per second: 600.000000, Best solution: 388142 found at 1s
Seconds: 1, Total Iterations: 700, Iteration per second: 700.000000, Best solution: 388143 found at 1s
Seconds: 1, Total Iterations: 800, Iteration per second: 800.000000, Best solution: 388187 found at 1s
Seconds: 1, Total Iterations: 900, Iteration per second: 900.000000, Best solution: 388187 found at 1s
Seconds: 2, Total Iterations: 1000, Iteration per second: 500.000000, Best solution: 388187 found at 1s
Seconds: 2, Total Iterations: 1100, Iteration per second: 550.000000, Best solution: 388187 found at 1s
Seconds: 2, Total Iterations: 1200, Iteration per second: 600.000000, Best solution: 388187 found at 1s
Seconds: 2, Total Iterations: 1300, Iteration per second: 650.000000, Best solution: 388189 found at 2s
Seconds: 2, Total Iterations: 1400, Iteration per second: 700.000000, Best solution: 388189 found at 2s
Seconds: 2, Total Iterations: 1500, Iteration per second: 750.000000, Best solution: 388189 found at 2s
Seconds: 2, Total Iterations: 1600, Iteration per second: 800.000000, Best solution: 388189 found at 2s
Seconds: 2, Total Iterations: 1700, Iteration per second: 850.000000, Best solution: 388189 found at 2s
Seconds: 2, Total Iterations: 1800, Iteration per second: 900.000000, Best solution: 388189 found at 2s
Seconds: 3, Total Iterations: 1900, Iteration per second: 633.333333, Best solution: 388189 found at 2s
Seconds: 3, Total Iterations: 2000, Iteration per second: 666.666667, Best solution: 388189 found at 2s
Seconds: 3, Total Iterations: 2100, Iteration per second: 700.000000, Best solution: 388344 found at 3s
Seconds: 3, Total Iterations: 2200, Iteration per second: 733.333333, Best solution: 388344 found at 3s
Seconds: 3, Total Iterations: 2300, Iteration per second: 766.666667, Best solution: 388344 found at 3s
Seconds: 3, Total Iterations: 2400, Iteration per second: 800.000000, Best solution: 388344 found at 3s
Seconds: 3, Total Iterations: 2500, Iteration per second: 833.333333, Best solution: 388793 found at 3s
Seconds: 3, Total Iterations: 2600, Iteration per second: 866.666667, Best solution: 388793 found at 3s
Seconds: 3, Total Iterations: 2700, Iteration per second: 900.000000, Best solution: 388793 found at 3s
Seconds: 3, Total Iterations: 2800, Iteration per second: 933.333333, Best solution: 388793 found at 3s
Seconds: 4, Total Iterations: 2900, Iteration per second: 725.000000, Best solution: 388793 found at 3s
Seconds: 4, Total Iterations: 3000, Iteration per second: 750.000000, Best solution: 388793 found at 3s
Seconds: 4, Total Iterations: 3100, Iteration per second: 775.000000, Best solution: 388793 found at 3s
Seconds: 4, Total Iterations: 3200, Iteration per second: 800.000000, Best solution: 388793 found at 3s
Seconds: 4, Total Iterations: 3300, Iteration per second: 825.000000, Best solution: 388793 found at 3s
Seconds: 4, Total Iterations: 3400, Iteration per second: 850.000000, Best solution: 388793 found at 3s
Seconds: 4, Total Iterations: 3500, Iteration per second: 875.000000, Best solution: 388793 found at 3s
Seconds: 4, Total Iterations: 3600, Iteration per second: 900.000000, Best solution: 388793 found at 3s
Seconds: 4, Total Iterations: 3700, Iteration per second: 925.000000, Best solution: 388793 found at 3s
Seconds: 4, Total Iterations: 3800, Iteration per second: 950.000000, Best solution: 388793 found at 3s
Seconds: 4, Total Iterations: 3900, Iteration per second: 975.000000, Best solution: 388793 found at 3s
Seconds: 5, Total Iterations: 4000, Iteration per second: 800.000000, Best solution: 388793 found at 3s
Seconds: 5, Total Iterations: 4100, Iteration per second: 820.000000, Best solution: 388793 found at 3s
Seconds: 5, Total Iterations: 4200, Iteration per second: 840.000000, Best solution: 388793 found at 3s
Seconds: 5, Total Iterations: 4300, Iteration per second: 860.000000, Best solution: 388793 found at 3s
Seconds: 5, Total Iterations: 4400, Iteration per second: 880.000000, Best solution: 388793 found at 3s
Seconds: 5, Total Iterations: 4500, Iteration per second: 900.000000, Best solution: 388793 found at 3s
Seconds: 5, Total Iterations: 4600, Iteration per second: 920.000000, Best solution: 388793 found at 3s
Seconds: 5, Total Iterations: 4700, Iteration per second: 940.000000, Best solution: 388793 found at 3s
Seconds: 5, Total Iterations: 4800, Iteration per second: 960.000000, Best solution: 388793 found at 3s
Seconds: 5, Total Iterations: 4900, Iteration per second: 980.000000, Best solution: 388793 found at 3s
Seconds: 5, Total Iterations: 5000, Iteration per second: 1000.000000, Best solution: 388793 found at 3s
Seconds: 6, Total Iterations: 5100, Iteration per second: 850.000000, Best solution: 388793 found at 3s
Seconds: 6, Total Iterations: 5200, Iteration per second: 866.666667, Best solution: 388793 found at 3s
Seconds: 6, Total Iterations: 5300, Iteration per second: 883.333333, Best solution: 388793 found at 3s
Seconds: 6, Total Iterations: 5400, Iteration per second: 900.000000, Best solution: 388793 found at 3s
Seconds: 6, Total Iterations: 5500, Iteration per second: 916.666667, Best solution: 388793 found at 3s
Seconds: 6, Total Iterations: 5600, Iteration per second: 933.333333, Best solution: 388793 found at 3s
Seconds: 6, Total Iterations: 5700, Iteration per second: 950.000000, Best solution: 388793 found at 3s
Seconds: 6, Total Iterations: 5800, Iteration per second: 966.666667, Best solution: 388793 found at 3s
Seconds: 6, Total Iterations: 5900, Iteration per second: 983.333333, Best solution: 388793 found at 3s
Seconds: 6, Total Iterations: 6000, Iteration per second: 1000.000000, Best solution: 388793 found at 3s
Seconds: 7, Total Iterations: 6100, Iteration per second: 871.428571, Best solution: 388793 found at 3s
Seconds: 7, Total Iterations: 6200, Iteration per second: 885.714286, Best solution: 388793 found at 3s
Seconds: 7, Total Iterations: 6300, Iteration per second: 900.000000, Best solution: 388793 found at 3s
Seconds: 7, Total Iterations: 6400, Iteration per second: 914.285714, Best solution: 388793 found at 3s
Seconds: 7, Total Iterations: 6500, Iteration per second: 928.571429, Best solution: 388793 found at 3s
Seconds: 7, Total Iterations: 6600, Iteration per second: 942.857143, Best solution: 388793 found at 3s
Seconds: 7, Total Iterations: 6700, Iteration per second: 957.142857, Best solution: 388793 found at 3s
Seconds: 7, Total Iterations: 6800, Iteration per second: 971.428571, Best solution: 388793 found at 3s
Seconds: 7, Total Iterations: 6900, Iteration per second: 985.714286, Best solution: 388793 found at 3s
Seconds: 7, Total Iterations: 7000, Iteration per second: 1000.000000, Best solution: 388793 found at 3s
Seconds: 7, Total Iterations: 7100, Iteration per second: 1014.285714, Best solution: 388793 found at 3s
Seconds: 8, Total Iterations: 7200, Iteration per second: 900.000000, Best solution: 388793 found at 3s
Seconds: 8, Total Iterations: 7300, Iteration per second: 912.500000, Best solution: 388793 found at 3s
Seconds: 8, Total Iterations: 7400, Iteration per second: 925.000000, Best solution: 388793 found at 3s
Seconds: 8, Total Iterations: 7500, Iteration per second: 937.500000, Best solution: 388793 found at 3s
Seconds: 8, Total Iterations: 7600, Iteration per second: 950.000000, Best solution: 388793 found at 3s
Seconds: 8, Total Iterations: 7700, Iteration per second: 962.500000, Best solution: 388793 found at 3s
Seconds: 8, Total Iterations: 7800, Iteration per second: 975.000000, Best solution: 388793 found at 3s
Seconds: 8, Total Iterations: 7900, Iteration per second: 987.500000, Best solution: 388793 found at 3s
Seconds: 8, Total Iterations: 8000, Iteration per second: 1000.000000, Best solution: 388793 found at 3s
Seconds: 8, Total Iterations: 8100, Iteration per second: 1012.500000, Best solution: 388793 found at 3s
Seconds: 8, Total Iterations: 8200, Iteration per second: 1025.000000, Best solution: 388793 found at 3s
Seconds: 9, Total Iterations: 8300, Iteration per second: 922.222222, Best solution: 388793 found at 3s
Seconds: 9, Total Iterations: 8400, Iteration per second: 933.333333, Best solution: 388793 found at 3s
Seconds: 9, Total Iterations: 8500, Iteration per second: 944.444444, Best solution: 388793 found at 3s
Seconds: 9, Total Iterations: 8600, Iteration per second: 955.555556, Best solution: 388793 found at 3s
Seconds: 9, Total Iterations: 8700, Iteration per second: 966.666667, Best solution: 388793 found at 3s
Seconds: 9, Total Iterations: 8800, Iteration per second: 977.777778, Best solution: 388793 found at 3s
Seconds: 9, Total Iterations: 8900, Iteration per second: 988.888889, Best solution: 388793 found at 3s
Seconds: 9, Total Iterations: 9000, Iteration per second: 1000.000000, Best solution: 388793 found at 3s
Seconds: 9, Total Iterations: 9100, Iteration per second: 1011.111111, Best solution: 388793 found at 3s
Seconds: 9, Total Iterations: 9200, Iteration per second: 1022.222222, Best solution: 388793 found at 3s
Seconds: 9, Total Iterations: 9300, Iteration per second: 1033.333333, Best solution: 388793 found at 3s
Seconds: 10, Total Iterations: 9400, Iteration per second: 940.000000, Best solution: 388793 found at 3s
Seconds: 10, Total Iterations: 9500, Iteration per second: 950.000000, Best solution: 388793 found at 3s
Seconds: 10, Total Iterations: 9600, Iteration per second: 960.000000, Best solution: 388793 found at 3s
Seconds: 10, Total Iterations: 9700, Iteration per second: 970.000000, Best solution: 388793 found at 3s
Seconds: 10, Total Iterations: 9800, Iteration per second: 980.000000, Best solution: 388793 found at 3s
Seconds: 10, Total Iterations: 9900, Iteration per second: 990.000000, Best solution: 388793 found at 3s
Seconds: 10, Total Iterations: 10000, Iteration per second: 1000.000000, Best solution: 388793 found at 3s
Seconds: 10, Total Iterations: 10100, Iteration per second: 1010.000000, Best solution: 388793 found at 3s
Seconds: 10, Total Iterations: 10200, Iteration per second: 1020.000000, Best solution: 388793 found at 3s
Seconds: 10, Total Iterations: 10300, Iteration per second: 1030.000000, Best solution: 388793 found at 3s
Seconds: 11, Total Iterations: 10400, Iteration per second: 945.454545, Best solution: 388793 found at 3s
Seconds: 11, Total Iterations: 10500, Iteration per second: 954.545455, Best solution: 388793 found at 3s
Seconds: 11, Total Iterations: 10600, Iteration per second: 963.636364, Best solution: 388793 found at 3s
Seconds: 11, Total Iterations: 10700, Iteration per second: 972.727273, Best solution: 388793 found at 3s
Seconds: 11, Total Iterations: 10800, Iteration per second: 981.818182, Best solution: 388793 found at 3s
Seconds: 11, Total Iterations: 10900, Iteration per second: 990.909091, Best solution: 388793 found at 3s
Seconds: 11, Total Iterations: 11000, Iteration per second: 1000.000000, Best solution: 388793 found at 3s
Seconds: 11, Total Iterations: 11100, Iteration per second: 1009.090909, Best solution: 388793 found at 3s
Seconds: 11, Total Iterations: 11200, Iteration per second: 1018.181818, Best solution: 388793 found at 3s
Seconds: 11, Total Iterations: 11300, Iteration per second: 1027.272727, Best solution: 388793 found at 3s
Seconds: 11, Total Iterations: 11400, Iteration per second: 1036.363636, Best solution: 388793 found at 3s
Seconds: 12, Total Iterations: 11500, Iteration per second: 958.333333, Best solution: 388793 found at 3s
Seconds: 12, Total Iterations: 11600, Iteration per second: 966.666667, Best solution: 388793 found at 3s
Seconds: 12, Total Iterations: 11700, Iteration per second: 975.000000, Best solution: 388793 found at 3s
Seconds: 12, Total Iterations: 11800, Iteration per second: 983.333333, Best solution: 388793 found at 3s
Seconds: 12, Total Iterations: 11900, Iteration per second: 991.666667, Best solution: 388793 found at 3s
Seconds: 12, Total Iterations: 12000, Iteration per second: 1000.000000, Best solution: 388793 found at 3s
Seconds: 12, Total Iterations: 12100, Iteration per second: 1008.333333, Best solution: 388793 found at 3s
Seconds: 12, Total Iterations: 12200, Iteration per second: 1016.666667, Best solution: 388793 found at 3s
Seconds: 12, Total Iterations: 12300, Iteration per second: 1025.000000, Best solution: 388793 found at 3s
Seconds: 12, Total Iterations: 12400, Iteration per second: 1033.333333, Best solution: 388793 found at 3s
Seconds: 12, Total Iterations: 12500, Iteration per second: 1041.666667, Best solution: 388793 found at 3s
Seconds: 13, Total Iterations: 12600, Iteration per second: 969.230769, Best solution: 388793 found at 3s
Seconds: 13, Total Iterations: 12700, Iteration per second: 976.923077, Best solution: 388793 found at 3s
Seconds: 13, Total Iterations: 12800, Iteration per second: 984.615385, Best solution: 388793 found at 3s
Seconds: 13, Total Iterations: 12900, Iteration per second: 992.307692, Best solution: 388793 found at 3s
Seconds: 13, Total Iterations: 13000, Iteration per second: 1000.000000, Best solution: 388793 found at 3s
Seconds: 13, Total Iterations: 13100, Iteration per second: 1007.692308, Best solution: 388793 found at 3s
Seconds: 13, Total Iterations: 13200, Iteration per second: 1015.384615, Best solution: 388793 found at 3s
Seconds: 13, Total Iterations: 13300, Iteration per second: 1023.076923, Best solution: 388793 found at 3s
Seconds: 13, Total Iterations: 13400, Iteration per second: 1030.769231, Best solution: 388793 found at 3s
Seconds: 13, Total Iterations: 13500, Iteration per second: 1038.461538, Best solution: 388793 found at 3s
Seconds: 13, Total Iterations: 13600, Iteration per second: 1046.153846, Best solution: 388793 found at 3s
Seconds: 14, Total Iterations: 13700, Iteration per second: 978.571429, Best solution: 388793 found at 3s
Seconds: 14, Total Iterations: 13800, Iteration per second: 985.714286, Best solution: 388793 found at 3s
Seconds: 14, Total Iterations: 13900, Iteration per second: 992.857143, Best solution: 388793 found at 3s
Seconds: 14, Total Iterations: 14000, Iteration per second: 1000.000000, Best solution: 388793 found at 3s
Seconds: 14, Total Iterations: 14100, Iteration per second: 1007.142857, Best solution: 388793 found at 3s
Seconds: 14, Total Iterations: 14200, Iteration per second: 1014.285714, Best solution: 388793 found at 3s
Seconds: 14, Total Iterations: 14300, Iteration per second: 1021.428571, Best solution: 388793 found at 3s
Seconds: 14, Total Iterations: 14400, Iteration per second: 1028.571429, Best solution: 388793 found at 3s
Seconds: 14, Total Iterations: 14500, Iteration per second: 1035.714286, Best solution: 388793 found at 3s
Seconds: 14, Total Iterations: 14600, Iteration per second: 1042.857143, Best solution: 388793 found at 3s
Seconds: 14, Total Iterations: 14700, Iteration per second: 1050.000000, Best solution: 388793 found at 3s
Seconds: 15, Total Iterations: 14800, Iteration per second: 986.666667, Best solution: 388793 found at 3s
Seconds: 15, Total Iterations: 14900, Iteration per second: 993.333333, Best solution: 388793 found at 3s
Seconds: 15, Total Iterations: 15000, Iteration per second: 1000.000000, Best solution: 388793 found at 3s
Seconds: 15, Total Iterations: 15100, Iteration per second: 1006.666667, Best solution: 388793 found at 3s
Seconds: 15, Total Iterations: 15200, Iteration per second: 1013.333333, Best solution: 388793 found at 3s
Seconds: 15, Total Iterations: 15300, Iteration per second: 1020.000000, Best solution: 388793 found at 3s
Seconds: 15, Total Iterations: 15400, Iteration per second: 1026.666667, Best solution: 388793 found at 3s
Seconds: 15, Total Iterations: 15500, Iteration per second: 1033.333333, Best solution: 388793 found at 3s
Seconds: 15, Total Iterations: 15600, Iteration per second: 1040.000000, Best solution: 388793 found at 3s
Seconds: 15, Total Iterations: 15700, Iteration per second: 1046.666667, Best solution: 388793 found at 3s
Seconds: 16, Total Iterations: 15800, Iteration per second: 987.500000, Best solution: 388793 found at 3s
Seconds: 16, Total Iterations: 15900, Iteration per second: 993.750000, Best solution: 388793 found at 3s
Seconds: 16, Total Iterations: 16000, Iteration per second: 1000.000000, Best solution: 388793 found at 3s
Seconds: 16, Total Iterations: 16100, Iteration per second: 1006.250000, Best solution: 388793 found at 3s
Seconds: 16, Total Iterations: 16200, Iteration per second: 1012.500000, Best solution: 388793 found at 3s
Seconds: 16, Total Iterations: 16300, Iteration per second: 1018.750000, Best solution: 388793 found at 3s
Seconds: 16, Total Iterations: 16400, Iteration per second: 1025.000000, Best solution: 388793 found at 3s
Seconds: 16, Total Iterations: 16500, Iteration per second: 1031.250000, Best solution: 388793 found at 3s
Seconds: 16, Total Iterations: 16600, Iteration per second: 1037.500000, Best solution: 388793 found at 3s
Seconds: 17, Total Iterations: 16700, Iteration per second: 982.352941, Best solution: 388793 found at 3s
Seconds: 17, Total Iterations: 16800, Iteration per second: 988.235294, Best solution: 388793 found at 3s
Seconds: 17, Total Iterations: 16900, Iteration per second: 994.117647, Best solution: 388793 found at 3s
Seconds: 17, Total Iterations: 17000, Iteration per second: 1000.000000, Best solution: 388793 found at 3s
Seconds: 17, Total Iterations: 17100, Iteration per second: 1005.882353, Best solution: 388793 found at 3s
Seconds: 17, Total Iterations: 17200, Iteration per second: 1011.764706, Best solution: 388793 found at 3s
Seconds: 17, Total Iterations: 17300, Iteration per second: 1017.647059, Best solution: 388793 found at 3s
Seconds: 17, Total Iterations: 17400, Iteration per second: 1023.529412, Best solution: 388793 found at 3s
Seconds: 17, Total Iterations: 17500, Iteration per second: 1029.411765, Best solution: 388793 found at 3s
Seconds: 17, Total Iterations: 17600, Iteration per second: 1035.294118, Best solution: 388793 found at 3s
Seconds: 17, Total Iterations: 17700, Iteration per second: 1041.176471, Best solution: 388793 found at 3s
Seconds: 18, Total Iterations: 17800, Iteration per second: 988.888889, Best solution: 388793 found at 3s
Seconds: 18, Total Iterations: 17900, Iteration per second: 994.444444, Best solution: 388793 found at 3s
Seconds: 18, Total Iterations: 18000, Iteration per second: 1000.000000, Best solution: 388793 found at 3s
Seconds: 18, Total Iterations: 18100, Iteration per second: 1005.555556, Best solution: 388793 found at 3s
Seconds: 18, Total Iterations: 18200, Iteration per second: 1011.111111, Best solution: 388793 found at 3s
Seconds: 18, Total Iterations: 18300, Iteration per second: 1016.666667, Best solution: 388793 found at 3s
Seconds: 18, Total Iterations: 18400, Iteration per second: 1022.222222, Best solution: 388793 found at 3s
Seconds: 18, Total Iterations: 18500, Iteration per second: 1027.777778, Best solution: 388793 found at 3s
Seconds: 18, Total Iterations: 18600, Iteration per second: 1033.333333, Best solution: 388793 found at 3s
Seconds: 18, Total Iterations: 18700, Iteration per second: 1038.888889, Best solution: 388793 found at 3s
Seconds: 18, Total Iterations: 18800, Iteration per second: 1044.444444, Best solution: 388793 found at 3s
Seconds: 19, Total Iterations: 18900, Iteration per second: 994.736842, Best solution: 388793 found at 3s
Seconds: 19, Total Iterations: 19000, Iteration per second: 1000.000000, Best solution: 388793 found at 3s
Seconds: 19, Total Iterations: 19100, Iteration per second: 1005.263158, Best solution: 388793 found at 3s
Seconds: 19, Total Iterations: 19200, Iteration per second: 1010.526316, Best solution: 388793 found at 3s
Seconds: 19, Total Iterations: 19300, Iteration per second: 1015.789474, Best solution: 388793 found at 3s
Seconds: 19, Total Iterations: 19400, Iteration per second: 1021.052632, Best solution: 388793 found at 3s
Seconds: 19, Total Iterations: 19500, Iteration per second: 1026.315789, Best solution: 388793 found at 3s
Seconds: 19, Total Iterations: 19600, Iteration per second: 1031.578947, Best solution: 388793 found at 3s
Seconds: 19, Total Iterations: 19700, Iteration per second: 1036.842105, Best solution: 388793 found at 3s
Seconds: 19, Total Iterations: 19800, Iteration per second: 1042.105263, Best solution: 388793 found at 3s
Seconds: 19, Total Iterations: 19900, Iteration per second: 1047.368421, Best solution: 388793 found at 3s
Seconds: 20, Total Iterations: 20000, Iteration per second: 1000.000000, Best solution: 388793 found at 3s
Seconds: 20, Total Iterations: 20100, Iteration per second: 1005.000000, Best solution: 388793 found at 3s
Seconds: 20, Total Iterations: 20200, Iteration per second: 1010.000000, Best solution: 388793 found at 3s
Seconds: 20, Total Iterations: 20300, Iteration per second: 1015.000000, Best solution: 388793 found at 3s
Seconds: 20, Total Iterations: 20400, Iteration per second: 1020.000000, Best solution: 388793 found at 3s
Seconds: 20, Total Iterations: 20500, Iteration per second: 1025.000000, Best solution: 388793 found at 3s
Seconds: 20, Total Iterations: 20600, Iteration per second: 1030.000000, Best solution: 388793 found at 3s
Seconds: 20, Total Iterations: 20700, Iteration per second: 1035.000000, Best solution: 388793 found at 3s
Seconds: 20, Total Iterations: 20800, Iteration per second: 1040.000000, Best solution: 388793 found at 3s
Seconds: 20, Total Iterations: 20900, Iteration per second: 1045.000000, Best solution: 388793 found at 3s
Seconds: 21, Total Iterations: 21000, Iteration per second: 1000.000000, Best solution: 388793 found at 3s
Seconds: 21, Total Iterations: 21100, Iteration per second: 1004.761905, Best solution: 388793 found at 3s
Seconds: 21, Total Iterations: 21200, Iteration per second: 1009.523810, Best solution: 388793 found at 3s
Seconds: 21, Total Iterations: 21300, Iteration per second: 1014.285714, Best solution: 388793 found at 3s
Seconds: 21, Total Iterations: 21400, Iteration per second: 1019.047619, Best solution: 388793 found at 3s
Seconds: 21, Total Iterations: 21500, Iteration per second: 1023.809524, Best solution: 388793 found at 3s
Seconds: 21, Total Iterations: 21600, Iteration per second: 1028.571429, Best solution: 388793 found at 3s
Seconds: 21, Total Iterations: 21700, Iteration per second: 1033.333333, Best solution: 388793 found at 3s
Seconds: 21, Total Iterations: 21800, Iteration per second: 1038.095238, Best solution: 388793 found at 3s
Seconds: 21, Total Iterations: 21900, Iteration per second: 1042.857143, Best solution: 388793 found at 3s
Seconds: 21, Total Iterations: 22000, Iteration per second: 1047.619048, Best solution: 388793 found at 3s
Seconds: 22, Total Iterations: 22100, Iteration per second: 1004.545455, Best solution: 388793 found at 3s
Seconds: 22, Total Iterations: 22200, Iteration per second: 1009.090909, Best solution: 388793 found at 3s
Seconds: 22, Total Iterations: 22300, Iteration per second: 1013.636364, Best solution: 388793 found at 3s
