Running GRASP algorithm...
Seconds: 0, Iteration: 10, Iteration per second: Infinity, Best solution: 1195131 found at 0s
Seconds: 1, Iteration: 20, Iteration per second: 20.000000, Best solution: 1195131 found at 0s
Seconds: 1, Iteration: 30, Iteration per second: 30.000000, Best solution: 1195131 found at 0s
Seconds: 2, Iteration: 40, Iteration per second: 20.000000, Best solution: 1195131 found at 0s
Seconds: 2, Iteration: 50, Iteration per second: 25.000000, Best solution: 1197584 found at 2s
Seconds: 3, Iteration: 60, Iteration per second: 20.000000, Best solution: 1200656 found at 3s
Seconds: 3, Iteration: 70, Iteration per second: 23.333333, Best solution: 1205068 found at 3s
Seconds: 4, Iteration: 80, Iteration per second: 20.000000, Best solution: 1205068 found at 3s
Seconds: 4, Iteration: 90, Iteration per second: 22.500000, Best solution: 1205068 found at 3s
Seconds: 5, Iteration: 100, Iteration per second: 20.000000, Best solution: 1207175 found at 4s
Seconds: 5, Iteration: 110, Iteration per second: 22.000000, Best solution: 1210965 found at 5s
Seconds: 6, Iteration: 120, Iteration per second: 20.000000, Best solution: 1211208 found at 5s
Seconds: 6, Iteration: 130, Iteration per second: 21.666667, Best solution: 1211359 found at 6s
Seconds: 7, Iteration: 140, Iteration per second: 20.000000, Best solution: 1211359 found at 6s
Seconds: 7, Iteration: 150, Iteration per second: 21.428571, Best solution: 1211359 found at 6s
Seconds: 7, Iteration: 160, Iteration per second: 22.857143, Best solution: 1211359 found at 6s
Seconds: 8, Iteration: 170, Iteration per second: 21.250000, Best solution: 1211359 found at 6s
Seconds: 8, Iteration: 180, Iteration per second: 22.500000, Best solution: 1211359 found at 6s
Seconds: 9, Iteration: 190, Iteration per second: 21.111111, Best solution: 1212278 found at 9s
Seconds: 9, Iteration: 200, Iteration per second: 22.222222, Best solution: 1212278 found at 9s
Seconds: 10, Iteration: 210, Iteration per second: 21.000000, Best solution: 1212278 found at 9s
Seconds: 10, Iteration: 220, Iteration per second: 22.000000, Best solution: 1212278 found at 9s
Seconds: 10, Iteration: 230, Iteration per second: 23.000000, Best solution: 1212278 found at 9s
Seconds: 11, Iteration: 240, Iteration per second: 21.818182, Best solution: 1212278 found at 9s
Seconds: 11, Iteration: 250, Iteration per second: 22.727273, Best solution: 1212294 found at 11s
Seconds: 12, Iteration: 260, Iteration per second: 21.666667, Best solution: 1212294 found at 11s
Seconds: 12, Iteration: 270, Iteration per second: 22.500000, Best solution: 1212294 found at 11s
Seconds: 13, Iteration: 280, Iteration per second: 21.538462, Best solution: 1212294 found at 11s
Seconds: 13, Iteration: 290, Iteration per second: 22.307692, Best solution: 1212294 found at 11s
Seconds: 13, Iteration: 300, Iteration per second: 23.076923, Best solution: 1212294 found at 11s
Seconds: 14, Iteration: 310, Iteration per second: 22.142857, Best solution: 1212294 found at 11s
Seconds: 14, Iteration: 320, Iteration per second: 22.857143, Best solution: 1212294 found at 11s
Seconds: 15, Iteration: 330, Iteration per second: 22.000000, Best solution: 1212294 found at 11s
Seconds: 15, Iteration: 340, Iteration per second: 22.666667, Best solution: 1212294 found at 11s
Seconds: 16, Iteration: 350, Iteration per second: 21.875000, Best solution: 1212294 found at 11s
Seconds: 16, Iteration: 360, Iteration per second: 22.500000, Best solution: 1212537 found at 16s
Seconds: 17, Iteration: 370, Iteration per second: 21.764706, Best solution: 1212537 found at 16s
Seconds: 17, Iteration: 380, Iteration per second: 22.352941, Best solution: 1212537 found at 16s
Seconds: 17, Iteration: 390, Iteration per second: 22.941176, Best solution: 1212537 found at 16s
Seconds: 18, Iteration: 400, Iteration per second: 22.222222, Best solution: 1212537 found at 16s
Seconds: 18, Iteration: 410, Iteration per second: 22.777778, Best solution: 1212537 found at 16s
Seconds: 19, Iteration: 420, Iteration per second: 22.105263, Best solution: 1212611 found at 19s
Seconds: 19, Iteration: 430, Iteration per second: 22.631579, Best solution: 1213086 found at 19s
Seconds: 20, Iteration: 440, Iteration per second: 22.000000, Best solution: 1213782 found at 19s
Seconds: 20, Iteration: 450, Iteration per second: 22.500000, Best solution: 1213782 found at 19s
Seconds: 21, Iteration: 460, Iteration per second: 21.904762, Best solution: 1213782 found at 19s
