Running GRASP algorithm...
Seconds: 0, Iteration: 10, Iteration per second: Infinity, Best solution: 416910 found at 0s
Seconds: 1, Iteration: 20, Iteration per second: 20.000000, Best solution: 417751 found at 0s
Seconds: 1, Iteration: 30, Iteration per second: 30.000000, Best solution: 420986 found at 1s
Seconds: 2, Iteration: 40, Iteration per second: 20.000000, Best solution: 420986 found at 1s
Seconds: 2, Iteration: 50, Iteration per second: 25.000000, Best solution: 421104 found at 2s
Seconds: 2, Iteration: 60, Iteration per second: 30.000000, Best solution: 421104 found at 2s
Seconds: 3, Iteration: 70, Iteration per second: 23.333333, Best solution: 422327 found at 3s
Seconds: 3, Iteration: 80, Iteration per second: 26.666667, Best solution: 422400 found at 3s
Seconds: 4, Iteration: 90, Iteration per second: 22.500000, Best solution: 422424 found at 4s
Seconds: 4, Iteration: 100, Iteration per second: 25.000000, Best solution: 424530 found at 4s
Seconds: 4, Iteration: 110, Iteration per second: 27.500000, Best solution: 424589 found at 4s
Seconds: 5, Iteration: 120, Iteration per second: 24.000000, Best solution: 424940 found at 5s
Seconds: 5, Iteration: 130, Iteration per second: 26.000000, Best solution: 424940 found at 5s
Seconds: 6, Iteration: 140, Iteration per second: 23.333333, Best solution: 425132 found at 5s
Seconds: 6, Iteration: 150, Iteration per second: 25.000000, Best solution: 425132 found at 5s
Seconds: 6, Iteration: 160, Iteration per second: 26.666667, Best solution: 425341 found at 6s
Seconds: 7, Iteration: 170, Iteration per second: 24.285714, Best solution: 425758 found at 7s
Seconds: 7, Iteration: 180, Iteration per second: 25.714286, Best solution: 425770 found at 7s
Seconds: 8, Iteration: 190, Iteration per second: 23.750000, Best solution: 425907 found at 7s
Seconds: 8, Iteration: 200, Iteration per second: 25.000000, Best solution: 426002 found at 8s
Seconds: 8, Iteration: 210, Iteration per second: 26.250000, Best solution: 427258 found at 8s
Seconds: 9, Iteration: 220, Iteration per second: 24.444444, Best solution: 427258 found at 8s
Seconds: 9, Iteration: 230, Iteration per second: 25.555556, Best solution: 427258 found at 8s
Seconds: 10, Iteration: 240, Iteration per second: 24.000000, Best solution: 427258 found at 8s
Seconds: 10, Iteration: 250, Iteration per second: 25.000000, Best solution: 427304 found at 10s
Seconds: 10, Iteration: 260, Iteration per second: 26.000000, Best solution: 427304 found at 10s
Seconds: 11, Iteration: 270, Iteration per second: 24.545455, Best solution: 427304 found at 10s
Seconds: 11, Iteration: 280, Iteration per second: 25.454545, Best solution: 427304 found at 10s
Seconds: 12, Iteration: 290, Iteration per second: 24.166667, Best solution: 427304 found at 10s
Seconds: 12, Iteration: 300, Iteration per second: 25.000000, Best solution: 427304 found at 10s
Seconds: 12, Iteration: 310, Iteration per second: 25.833333, Best solution: 427454 found at 12s
Seconds: 13, Iteration: 320, Iteration per second: 24.615385, Best solution: 427608 found at 13s
Seconds: 13, Iteration: 330, Iteration per second: 25.384615, Best solution: 427776 found at 13s
Seconds: 14, Iteration: 340, Iteration per second: 24.285714, Best solution: 427776 found at 13s
Seconds: 14, Iteration: 350, Iteration per second: 25.000000, Best solution: 428063 found at 14s
Seconds: 14, Iteration: 360, Iteration per second: 25.714286, Best solution: 428095 found at 14s
Seconds: 15, Iteration: 370, Iteration per second: 24.666667, Best solution: 428095 found at 14s
Seconds: 15, Iteration: 380, Iteration per second: 25.333333, Best solution: 428111 found at 15s
Seconds: 16, Iteration: 390, Iteration per second: 24.375000, Best solution: 428253 found at 15s
Seconds: 16, Iteration: 400, Iteration per second: 25.000000, Best solution: 428504 found at 16s
Seconds: 16, Iteration: 410, Iteration per second: 25.625000, Best solution: 428504 found at 16s
Seconds: 17, Iteration: 420, Iteration per second: 24.705882, Best solution: 428504 found at 16s
Seconds: 17, Iteration: 430, Iteration per second: 25.294118, Best solution: 428734 found at 17s
Seconds: 17, Iteration: 440, Iteration per second: 25.882353, Best solution: 428738 found at 17s
Seconds: 18, Iteration: 450, Iteration per second: 25.000000, Best solution: 428738 found at 17s
Seconds: 18, Iteration: 460, Iteration per second: 25.555556, Best solution: 428738 found at 17s
Seconds: 19, Iteration: 470, Iteration per second: 24.736842, Best solution: 428738 found at 17s
Seconds: 19, Iteration: 480, Iteration per second: 25.263158, Best solution: 428738 found at 17s
Seconds: 19, Iteration: 490, Iteration per second: 25.789474, Best solution: 428738 found at 17s
Seconds: 20, Iteration: 500, Iteration per second: 25.000000, Best solution: 428738 found at 17s
Seconds: 20, Iteration: 510, Iteration per second: 25.500000, Best solution: 428738 found at 17s
Seconds: 20, Iteration: 520, Iteration per second: 26.000000, Best solution: 428738 found at 17s
Seconds: 21, Iteration: 530, Iteration per second: 25.238095, Best solution: 428738 found at 17s
Seconds: 21, Iteration: 540, Iteration per second: 25.714286, Best solution: 428738 found at 17s
Seconds: 22, Iteration: 550, Iteration per second: 25.000000, Best solution: 428739 found at 21s
