Running GRASP algorithm...
Running with 31 threads (Available processors: 31).
Seconds: 15, Total Iterations: 6800, Iteration per second: 453.333333, Best solution: 964466 found at 13s
Seconds: 16, Total Iterations: 6900, Iteration per second: 431.250000, Best solution: 964466 found at 13s
Seconds: 16, Total Iterations: 7000, Iteration per second: 437.500000, Best solution: 964466 found at 13s
Seconds: 16, Total Iterations: 7100, Iteration per second: 443.750000, Best solution: 964466 found at 13s
Seconds: 16, Total Iterations: 7200, Iteration per second: 450.000000, Best solution: 964784 found at 16s
Seconds: 16, Total Iterations: 7300, Iteration per second: 456.250000, Best solution: 964784 found at 16s
Seconds: 17, Total Iterations: 7400, Iteration per second: 435.294118, Best solution: 964784 found at 16s
Seconds: 17, Total Iterations: 7500, Iteration per second: 441.176471, Best solution: 964784 found at 16s
Seconds: 17, Total Iterations: 7600, Iteration per second: 447.058824, Best solution: 964784 found at 16s
Seconds: 17, Total Iterations: 7700, Iteration per second: 452.941176, Best solution: 964784 found at 16s
Seconds: 18, Total Iterations: 7800, Iteration per second: 433.333333, Best solution: 964784 found at 16s
Seconds: 18, Total Iterations: 7900, Iteration per second: 438.888889, Best solution: 964784 found at 16s
Seconds: 18, Total Iterations: 8000, Iteration per second: 444.444444, Best solution: 964785 found at 18s
Seconds: 18, Total Iterations: 8100, Iteration per second: 450.000000, Best solution: 964785 found at 18s
Seconds: 18, Total Iterations: 8200, Iteration per second: 455.555556, Best solution: 964785 found at 18s
Seconds: 19, Total Iterations: 8300, Iteration per second: 436.842105, Best solution: 964785 found at 18s
Seconds: 19, Total Iterations: 8400, Iteration per second: 442.105263, Best solution: 964785 found at 18s
Seconds: 19, Total Iterations: 8500, Iteration per second: 447.368421, Best solution: 964785 found at 18s
Seconds: 19, Total Iterations: 8600, Iteration per second: 452.631579, Best solution: 964785 found at 18s
Seconds: 19, Total Iterations: 8700, Iteration per second: 457.894737, Best solution: 964785 found at 18s
Seconds: 20, Total Iterations: 8800, Iteration per second: 440.000000, Best solution: 964785 found at 18s
Seconds: 20, Total Iterations: 8900, Iteration per second: 445.000000, Best solution: 964881 found at 20s
Seconds: 20, Total Iterations: 9000, Iteration per second: 450.000000, Best solution: 964881 found at 20s
Seconds: 20, Total Iterations: 9100, Iteration per second: 455.000000, Best solution: 964881 found at 20s
Seconds: 21, Total Iterations: 9200, Iteration per second: 438.095238, Best solution: 964881 found at 20s
Seconds: 21, Total Iterations: 9300, Iteration per second: 442.857143, Best solution: 964881 found at 20s
Seconds: 21, Total Iterations: 9400, Iteration per second: 447.619048, Best solution: 964881 found at 20s
Seconds: 21, Total Iterations: 9500, Iteration per second: 452.380952, Best solution: 964881 found at 20s
Seconds: 21, Total Iterations: 9600, Iteration per second: 457.142857, Best solution: 964881 found at 20s
Seconds: 22, Total Iterations: 9700, Iteration per second: 440.909091, Best solution: 964881 found at 20s
Seconds: 22, Total Iterations: 9800, Iteration per second: 445.454545, Best solution: 964881 found at 20s
Seconds: 22, Total Iterations: 9900, Iteration per second: 450.000000, Best solution: 964881 found at 20s
Seconds: 22, Total Iterations: 10000, Iteration per second: 454.545455, Best solution: 964881 found at 20s
Seconds: 22, Total Iterations: 10100, Iteration per second: 459.090909, Best solution: 964881 found at 20s
Seconds: 23, Total Iterations: 10200, Iteration per second: 443.478261, Best solution: 964881 found at 20s
Seconds: 23, Total Iterations: 10300, Iteration per second: 447.826087, Best solution: 964881 found at 20s
Seconds: 23, Total Iterations: 10400, Iteration per second: 452.173913, Best solution: 964881 found at 20s
Seconds: 23, Total Iterations: 10500, Iteration per second: 456.521739, Best solution: 964881 found at 20s
Seconds: 24, Total Iterations: 10600, Iteration per second: 441.666667, Best solution: 964881 found at 20s
Seconds: 24, Total Iterations: 10700, Iteration per second: 445.833333, Best solution: 964881 found at 20s
Seconds: 24, Total Iterations: 10800, Iteration per second: 450.000000, Best solution: 964881 found at 20s
Seconds: 24, Total Iterations: 10900, Iteration per second: 454.166667, Best solution: 964881 found at 20s
Seconds: 24, Total Iterations: 11000, Iteration per second: 458.333333, Best solution: 964881 found at 20s
Seconds: 25, Total Iterations: 11100, Iteration per second: 444.000000, Best solution: 964881 found at 20s
Seconds: 25, Total Iterations: 11200, Iteration per second: 448.000000, Best solution: 964881 found at 20s
Seconds: 25, Total Iterations: 11300, Iteration per second: 452.000000, Best solution: 964881 found at 20s
Seconds: 25, Total Iterations: 11400, Iteration per second: 456.000000, Best solution: 964881 found at 20s
Seconds: 26, Total Iterations: 11500, Iteration per second: 442.307692, Best solution: 964881 found at 20s
Seconds: 26, Total Iterations: 11600, Iteration per second: 446.153846, Best solution: 964881 found at 20s
Seconds: 26, Total Iterations: 11700, Iteration per second: 450.000000, Best solution: 964881 found at 20s
Seconds: 26, Total Iterations: 11800, Iteration per second: 453.846154, Best solution: 964881 found at 20s
Seconds: 26, Total Iterations: 11900, Iteration per second: 457.692308, Best solution: 964881 found at 20s
Seconds: 27, Total Iterations: 12000, Iteration per second: 444.444444, Best solution: 964881 found at 20s
Seconds: 27, Total Iterations: 12100, Iteration per second: 448.148148, Best solution: 964882 found at 27s
Seconds: 27, Total Iterations: 12200, Iteration per second: 451.851852, Best solution: 964882 found at 27s
Seconds: 27, Total Iterations: 12300, Iteration per second: 455.555556, Best solution: 964882 found at 27s
Seconds: 28, Total Iterations: 12400, Iteration per second: 442.857143, Best solution: 964882 found at 27s
Seconds: 28, Total Iterations: 12500, Iteration per second: 446.428571, Best solution: 964882 found at 27s
Seconds: 28, Total Iterations: 12600, Iteration per second: 450.000000, Best solution: 964882 found at 27s
Seconds: 28, Total Iterations: 12700, Iteration per second: 453.571429, Best solution: 964882 found at 27s
Seconds: 28, Total Iterations: 12800, Iteration per second: 457.142857, Best solution: 964882 found at 27s
Seconds: 29, Total Iterations: 12900, Iteration per second: 444.827586, Best solution: 964882 found at 27s
Seconds: 29, Total Iterations: 13000, Iteration per second: 448.275862, Best solution: 964882 found at 27s
Seconds: 29, Total Iterations: 13100, Iteration per second: 451.724138, Best solution: 964882 found at 27s
Seconds: 29, Total Iterations: 13200, Iteration per second: 455.172414, Best solution: 964882 found at 27s
Seconds: 30, Total Iterations: 13300, Iteration per second: 443.333333, Best solution: 964882 found at 27s
Seconds: 30, Total Iterations: 13400, Iteration per second: 446.666667, Best solution: 964882 found at 27s
Seconds: 30, Total Iterations: 13500, Iteration per second: 450.000000, Best solution: 964882 found at 27s
Seconds: 30, Total Iterations: 13600, Iteration per second: 453.333333, Best solution: 964882 found at 27s
Seconds: 30, Total Iterations: 13700, Iteration per second: 456.666667, Best solution: 964882 found at 27s
Seconds: 31, Total Iterations: 13800, Iteration per second: 445.161290, Best solution: 964882 found at 27s
Seconds: 31, Total Iterations: 13900, Iteration per second: 448.387097, Best solution: 964882 found at 27s
Seconds: 31, Total Iterations: 14000, Iteration per second: 451.612903, Best solution: 964882 found at 27s
Seconds: 31, Total Iterations: 14100, Iteration per second: 454.838710, Best solution: 964882 found at 27s
Seconds: 31, Total Iterations: 14200, Iteration per second: 458.064516, Best solution: 964882 found at 27s
Seconds: 32, Total Iterations: 14300, Iteration per second: 446.875000, Best solution: 964882 found at 27s
Seconds: 32, Total Iterations: 14400, Iteration per second: 450.000000, Best solution: 964882 found at 27s
Seconds: 32, Total Iterations: 14500, Iteration per second: 453.125000, Best solution: 964882 found at 27s
Seconds: 32, Total Iterations: 14600, Iteration per second: 456.250000, Best solution: 964882 found at 27s
Seconds: 33, Total Iterations: 14700, Iteration per second: 445.454545, Best solution: 964882 found at 27s
Seconds: 33, Total Iterations: 14800, Iteration per second: 448.484848, Best solution: 964882 found at 27s
Seconds: 33, Total Iterations: 14900, Iteration per second: 451.515152, Best solution: 964882 found at 27s
Seconds: 33, Total Iterations: 15000, Iteration per second: 454.545455, Best solution: 964882 found at 27s
Seconds: 33, Total Iterations: 15100, Iteration per second: 457.575758, Best solution: 964882 found at 27s
Seconds: 34, Total Iterations: 15200, Iteration per second: 447.058824, Best solution: 964882 found at 27s
Seconds: 34, Total Iterations: 15300, Iteration per second: 450.000000, Best solution: 964882 found at 27s
Seconds: 34, Total Iterations: 15400, Iteration per second: 452.941176, Best solution: 964882 found at 27s
Seconds: 34, Total Iterations: 15500, Iteration per second: 455.882353, Best solution: 964882 found at 27s
Seconds: 35, Total Iterations: 15600, Iteration per second: 445.714286, Best solution: 964882 found at 27s
Seconds: 35, Total Iterations: 15700, Iteration per second: 448.571429, Best solution: 964882 found at 27s
Seconds: 35, Total Iterations: 15800, Iteration per second: 451.428571, Best solution: 964882 found at 27s
Seconds: 35, Total Iterations: 15900, Iteration per second: 454.285714, Best solution: 964882 found at 27s
Seconds: 35, Total Iterations: 16000, Iteration per second: 457.142857, Best solution: 964882 found at 27s
Seconds: 36, Total Iterations: 16100, Iteration per second: 447.222222, Best solution: 964882 found at 27s
Seconds: 36, Total Iterations: 16200, Iteration per second: 450.000000, Best solution: 964882 found at 27s
Seconds: 36, Total Iterations: 16300, Iteration per second: 452.777778, Best solution: 964882 found at 27s
Seconds: 36, Total Iterations: 16400, Iteration per second: 455.555556, Best solution: 964882 found at 27s
Seconds: 37, Total Iterations: 16500, Iteration per second: 445.945946, Best solution: 964882 found at 27s
Seconds: 37, Total Iterations: 16600, Iteration per second: 448.648649, Best solution: 964882 found at 27s
Seconds: 37, Total Iterations: 16700, Iteration per second: 451.351351, Best solution: 964882 found at 27s
Seconds: 37, Total Iterations: 16800, Iteration per second: 454.054054, Best solution: 964882 found at 27s
Seconds: 37, Total Iterations: 16900, Iteration per second: 456.756757, Best solution: 964882 found at 27s
Seconds: 38, Total Iterations: 17000, Iteration per second: 447.368421, Best solution: 964882 found at 27s
Seconds: 38, Total Iterations: 17100, Iteration per second: 450.000000, Best solution: 964882 found at 27s
Seconds: 38, Total Iterations: 17200, Iteration per second: 452.631579, Best solution: 964882 found at 27s
Seconds: 38, Total Iterations: 17300, Iteration per second: 455.263158, Best solution: 964882 found at 27s
Seconds: 38, Total Iterations: 17400, Iteration per second: 457.894737, Best solution: 964882 found at 27s
Seconds: 39, Total Iterations: 17500, Iteration per second: 448.717949, Best solution: 964882 found at 27s
Seconds: 39, Total Iterations: 17600, Iteration per second: 451.282051, Best solution: 964882 found at 27s
Seconds: 39, Total Iterations: 17700, Iteration per second: 453.846154, Best solution: 964882 found at 27s
Seconds: 39, Total Iterations: 17800, Iteration per second: 456.410256, Best solution: 964882 found at 27s
Seconds: 40, Total Iterations: 17900, Iteration per second: 447.500000, Best solution: 964882 found at 27s
Seconds: 40, Total Iterations: 18000, Iteration per second: 450.000000, Best solution: 964882 found at 27s
Seconds: 40, Total Iterations: 18100, Iteration per second: 452.500000, Best solution: 964882 found at 27s
Seconds: 40, Total Iterations: 18200, Iteration per second: 455.000000, Best solution: 964882 found at 27s
Seconds: 40, Total Iterations: 18300, Iteration per second: 457.500000, Best solution: 964882 found at 27s
Seconds: 41, Total Iterations: 18400, Iteration per second: 448.780488, Best solution: 964882 found at 27s
Seconds: 41, Total Iterations: 18500, Iteration per second: 451.219512, Best solution: 964882 found at 27s
Seconds: 41, Total Iterations: 18600, Iteration per second: 453.658537, Best solution: 964882 found at 27s
Seconds: 41, Total Iterations: 18700, Iteration per second: 456.097561, Best solution: 964882 found at 27s
Seconds: 42, Total Iterations: 18800, Iteration per second: 447.619048, Best solution: 964882 found at 27s
Seconds: 42, Total Iterations: 18900, Iteration per second: 450.000000, Best solution: 964882 found at 27s
Seconds: 42, Total Iterations: 19000, Iteration per second: 452.380952, Best solution: 964882 found at 27s
Seconds: 42, Total Iterations: 19100, Iteration per second: 454.761905, Best solution: 964882 found at 27s
Seconds: 42, Total Iterations: 19200, Iteration per second: 457.142857, Best solution: 964882 found at 27s
Seconds: 43, Total Iterations: 19300, Iteration per second: 448.837209, Best solution: 964882 found at 27s
Seconds: 43, Total Iterations: 19400, Iteration per second: 451.162791, Best solution: 964882 found at 27s
Seconds: 43, Total Iterations: 19500, Iteration per second: 453.488372, Best solution: 964882 found at 27s
Seconds: 43, Total Iterations: 19600, Iteration per second: 455.813953, Best solution: 964882 found at 27s
