Running GRASP algorithm...
Running with 31 threads (Available processors: 31).
Seconds: 5, Total Iterations: 6700, Iteration per second: 1340.000000, Best solution: 384342 found at 3s
Seconds: 5, Total Iterations: 6800, Iteration per second: 1360.000000, Best solution: 384342 found at 3s
Seconds: 5, Total Iterations: 6900, Iteration per second: 1380.000000, Best solution: 384342 found at 3s
Seconds: 6, Total Iterations: 7000, Iteration per second: 1166.666667, Best solution: 384342 found at 3s
Seconds: 6, Total Iterations: 7100, Iteration per second: 1183.333333, Best solution: 384342 found at 3s
Seconds: 6, Total Iterations: 7200, Iteration per second: 1200.000000, Best solution: 384342 found at 3s
Seconds: 6, Total Iterations: 7300, Iteration per second: 1216.666667, Best solution: 384342 found at 3s
Seconds: 6, Total Iterations: 7400, Iteration per second: 1233.333333, Best solution: 384342 found at 3s
Seconds: 6, Total Iterations: 7500, Iteration per second: 1250.000000, Best solution: 384342 found at 3s
Seconds: 6, Total Iterations: 7600, Iteration per second: 1266.666667, Best solution: 384342 found at 3s
Seconds: 6, Total Iterations: 7700, Iteration per second: 1283.333333, Best solution: 384342 found at 3s
Seconds: 6, Total Iterations: 7800, Iteration per second: 1300.000000, Best solution: 384342 found at 3s
Seconds: 6, Total Iterations: 7900, Iteration per second: 1316.666667, Best solution: 384342 found at 3s
Seconds: 6, Total Iterations: 8000, Iteration per second: 1333.333333, Best solution: 384342 found at 3s
Seconds: 6, Total Iterations: 8100, Iteration per second: 1350.000000, Best solution: 384342 found at 3s
Seconds: 6, Total Iterations: 8200, Iteration per second: 1366.666667, Best solution: 384342 found at 3s
Seconds: 6, Total Iterations: 8300, Iteration per second: 1383.333333, Best solution: 384342 found at 3s
Seconds: 6, Total Iterations: 8400, Iteration per second: 1400.000000, Best solution: 384342 found at 3s
Seconds: 6, Total Iterations: 8500, Iteration per second: 1416.666667, Best solution: 384342 found at 3s
Seconds: 6, Total Iterations: 8600, Iteration per second: 1433.333333, Best solution: 384342 found at 3s
Seconds: 7, Total Iterations: 8700, Iteration per second: 1242.857143, Best solution: 384342 found at 3s
Seconds: 7, Total Iterations: 8800, Iteration per second: 1257.142857, Best solution: 384342 found at 3s
Seconds: 7, Total Iterations: 8900, Iteration per second: 1271.428571, Best solution: 384342 found at 3s
Seconds: 7, Total Iterations: 9000, Iteration per second: 1285.714286, Best solution: 384342 found at 3s
Seconds: 7, Total Iterations: 9100, Iteration per second: 1300.000000, Best solution: 384342 found at 3s
Seconds: 7, Total Iterations: 9200, Iteration per second: 1314.285714, Best solution: 384342 found at 3s
Seconds: 7, Total Iterations: 9300, Iteration per second: 1328.571429, Best solution: 384342 found at 3s
Seconds: 7, Total Iterations: 9400, Iteration per second: 1342.857143, Best solution: 384342 found at 3s
Seconds: 7, Total Iterations: 9500, Iteration per second: 1357.142857, Best solution: 384342 found at 3s
Seconds: 7, Total Iterations: 9600, Iteration per second: 1371.428571, Best solution: 384342 found at 3s
Seconds: 7, Total Iterations: 9700, Iteration per second: 1385.714286, Best solution: 384342 found at 3s
Seconds: 7, Total Iterations: 9800, Iteration per second: 1400.000000, Best solution: 384342 found at 3s
Seconds: 7, Total Iterations: 9900, Iteration per second: 1414.285714, Best solution: 384342 found at 3s
Seconds: 7, Total Iterations: 10000, Iteration per second: 1428.571429, Best solution: 384342 found at 3s
Seconds: 7, Total Iterations: 10100, Iteration per second: 1442.857143, Best solution: 384342 found at 3s
Seconds: 7, Total Iterations: 10200, Iteration per second: 1457.142857, Best solution: 384342 found at 3s
Seconds: 7, Total Iterations: 10300, Iteration per second: 1471.428571, Best solution: 384342 found at 3s
Seconds: 7, Total Iterations: 10400, Iteration per second: 1485.714286, Best solution: 384342 found at 3s
Seconds: 8, Total Iterations: 10500, Iteration per second: 1312.500000, Best solution: 384342 found at 3s
Seconds: 8, Total Iterations: 10600, Iteration per second: 1325.000000, Best solution: 384342 found at 3s
Seconds: 8, Total Iterations: 10700, Iteration per second: 1337.500000, Best solution: 384342 found at 3s
Seconds: 8, Total Iterations: 10800, Iteration per second: 1350.000000, Best solution: 384342 found at 3s
Seconds: 8, Total Iterations: 10900, Iteration per second: 1362.500000, Best solution: 384342 found at 3s
Seconds: 8, Total Iterations: 11000, Iteration per second: 1375.000000, Best solution: 384342 found at 3s
Seconds: 8, Total Iterations: 11100, Iteration per second: 1387.500000, Best solution: 384342 found at 3s
Seconds: 8, Total Iterations: 11200, Iteration per second: 1400.000000, Best solution: 384342 found at 3s
Seconds: 8, Total Iterations: 11300, Iteration per second: 1412.500000, Best solution: 384342 found at 3s
Seconds: 8, Total Iterations: 11400, Iteration per second: 1425.000000, Best solution: 384342 found at 3s
Seconds: 8, Total Iterations: 11500, Iteration per second: 1437.500000, Best solution: 384342 found at 3s
Seconds: 8, Total Iterations: 11600, Iteration per second: 1450.000000, Best solution: 384342 found at 3s
Seconds: 8, Total Iterations: 11700, Iteration per second: 1462.500000, Best solution: 384342 found at 3s
Seconds: 8, Total Iterations: 11800, Iteration per second: 1475.000000, Best solution: 384342 found at 3s
Seconds: 8, Total Iterations: 11900, Iteration per second: 1487.500000, Best solution: 384346 found at 8s
Seconds: 8, Total Iterations: 12000, Iteration per second: 1500.000000, Best solution: 384346 found at 8s
Seconds: 8, Total Iterations: 12100, Iteration per second: 1512.500000, Best solution: 384346 found at 8s
Seconds: 9, Total Iterations: 12200, Iteration per second: 1355.555556, Best solution: 384346 found at 8s
Seconds: 9, Total Iterations: 12300, Iteration per second: 1366.666667, Best solution: 384346 found at 8s
Seconds: 9, Total Iterations: 12400, Iteration per second: 1377.777778, Best solution: 384346 found at 8s
Seconds: 9, Total Iterations: 12500, Iteration per second: 1388.888889, Best solution: 384346 found at 8s
Seconds: 9, Total Iterations: 12600, Iteration per second: 1400.000000, Best solution: 384346 found at 8s
Seconds: 9, Total Iterations: 12700, Iteration per second: 1411.111111, Best solution: 384346 found at 8s
Seconds: 9, Total Iterations: 12800, Iteration per second: 1422.222222, Best solution: 384346 found at 8s
Seconds: 9, Total Iterations: 12900, Iteration per second: 1433.333333, Best solution: 384346 found at 8s
Seconds: 9, Total Iterations: 13000, Iteration per second: 1444.444444, Best solution: 384346 found at 8s
Seconds: 9, Total Iterations: 13100, Iteration per second: 1455.555556, Best solution: 384346 found at 8s
Seconds: 9, Total Iterations: 13200, Iteration per second: 1466.666667, Best solution: 384346 found at 8s
Seconds: 9, Total Iterations: 13300, Iteration per second: 1477.777778, Best solution: 384346 found at 8s
Seconds: 9, Total Iterations: 13400, Iteration per second: 1488.888889, Best solution: 384346 found at 8s
Seconds: 9, Total Iterations: 13500, Iteration per second: 1500.000000, Best solution: 384346 found at 8s
Seconds: 9, Total Iterations: 13600, Iteration per second: 1511.111111, Best solution: 384346 found at 8s
Seconds: 9, Total Iterations: 13700, Iteration per second: 1522.222222, Best solution: 384346 found at 8s
Seconds: 9, Total Iterations: 13800, Iteration per second: 1533.333333, Best solution: 384346 found at 8s
Seconds: 9, Total Iterations: 13900, Iteration per second: 1544.444444, Best solution: 384346 found at 8s
Seconds: 10, Total Iterations: 14000, Iteration per second: 1400.000000, Best solution: 384346 found at 8s
Seconds: 10, Total Iterations: 14100, Iteration per second: 1410.000000, Best solution: 384346 found at 8s
Seconds: 10, Total Iterations: 14200, Iteration per second: 1420.000000, Best solution: 384346 found at 8s
Seconds: 10, Total Iterations: 14300, Iteration per second: 1430.000000, Best solution: 384346 found at 8s
Seconds: 10, Total Iterations: 14400, Iteration per second: 1440.000000, Best solution: 384346 found at 8s
Seconds: 10, Total Iterations: 14500, Iteration per second: 1450.000000, Best solution: 384346 found at 8s
Seconds: 10, Total Iterations: 14600, Iteration per second: 1460.000000, Best solution: 384346 found at 8s
Seconds: 10, Total Iterations: 14700, Iteration per second: 1470.000000, Best solution: 384346 found at 8s
Seconds: 10, Total Iterations: 14800, Iteration per second: 1480.000000, Best solution: 384346 found at 8s
Seconds: 10, Total Iterations: 14900, Iteration per second: 1490.000000, Best solution: 384346 found at 8s
Seconds: 10, Total Iterations: 15000, Iteration per second: 1500.000000, Best solution: 384346 found at 8s
Seconds: 10, Total Iterations: 15100, Iteration per second: 1510.000000, Best solution: 384346 found at 8s
Seconds: 10, Total Iterations: 15200, Iteration per second: 1520.000000, Best solution: 384346 found at 8s
Seconds: 10, Total Iterations: 15300, Iteration per second: 1530.000000, Best solution: 384346 found at 8s
Seconds: 10, Total Iterations: 15400, Iteration per second: 1540.000000, Best solution: 384346 found at 8s
Seconds: 10, Total Iterations: 15500, Iteration per second: 1550.000000, Best solution: 384346 found at 8s
Seconds: 10, Total Iterations: 15600, Iteration per second: 1560.000000, Best solution: 384346 found at 8s
Seconds: 11, Total Iterations: 15700, Iteration per second: 1427.272727, Best solution: 384346 found at 8s
Seconds: 11, Total Iterations: 15800, Iteration per second: 1436.363636, Best solution: 384346 found at 8s
Seconds: 11, Total Iterations: 15900, Iteration per second: 1445.454545, Best solution: 384346 found at 8s
Seconds: 11, Total Iterations: 16000, Iteration per second: 1454.545455, Best solution: 384346 found at 8s
Seconds: 11, Total Iterations: 16100, Iteration per second: 1463.636364, Best solution: 384346 found at 8s
Seconds: 11, Total Iterations: 16200, Iteration per second: 1472.727273, Best solution: 384346 found at 8s
