Running GRASP algorithm...
Running with 31 threads (Available processors: 31).
Seconds: 2, Total Iterations: 6700, Iteration per second: 3350.000000, Best solution: 352160 found at 1s
Seconds: 2, Total Iterations: 6800, Iteration per second: 3400.000000, Best solution: 352160 found at 1s
Seconds: 2, Total Iterations: 6900, Iteration per second: 3450.000000, Best solution: 352160 found at 1s
Seconds: 2, Total Iterations: 7000, Iteration per second: 3500.000000, Best solution: 352160 found at 1s
Seconds: 2, Total Iterations: 7100, Iteration per second: 3550.000000, Best solution: 352160 found at 1s
Seconds: 2, Total Iterations: 7200, Iteration per second: 3600.000000, Best solution: 352160 found at 1s
Seconds: 2, Total Iterations: 7300, Iteration per second: 3650.000000, Best solution: 352160 found at 1s
Seconds: 2, Total Iterations: 7400, Iteration per second: 3700.000000, Best solution: 352160 found at 1s
Seconds: 2, Total Iterations: 7500, Iteration per second: 3750.000000, Best solution: 352160 found at 1s
Seconds: 2, Total Iterations: 7600, Iteration per second: 3800.000000, Best solution: 352160 found at 1s
Seconds: 2, Total Iterations: 7700, Iteration per second: 3850.000000, Best solution: 352160 found at 1s
Seconds: 2, Total Iterations: 7800, Iteration per second: 3900.000000, Best solution: 352160 found at 1s
Seconds: 2, Total Iterations: 7900, Iteration per second: 3950.000000, Best solution: 352160 found at 1s
Seconds: 2, Total Iterations: 8000, Iteration per second: 4000.000000, Best solution: 352160 found at 1s
Seconds: 2, Total Iterations: 8100, Iteration per second: 4050.000000, Best solution: 352160 found at 1s
Seconds: 2, Total Iterations: 8200, Iteration per second: 4100.000000, Best solution: 352160 found at 1s
Seconds: 2, Total Iterations: 8300, Iteration per second: 4150.000000, Best solution: 352160 found at 1s
Seconds: 2, Total Iterations: 8400, Iteration per second: 4200.000000, Best solution: 352160 found at 1s
Seconds: 2, Total Iterations: 8500, Iteration per second: 4250.000000, Best solution: 352160 found at 1s
Seconds: 2, Total Iterations: 8600, Iteration per second: 4300.000000, Best solution: 352160 found at 1s
Seconds: 2, Total Iterations: 8700, Iteration per second: 4350.000000, Best solution: 352160 found at 1s
Seconds: 2, Total Iterations: 8800, Iteration per second: 4400.000000, Best solution: 352160 found at 1s
Seconds: 2, Total Iterations: 8900, Iteration per second: 4450.000000, Best solution: 352160 found at 1s
Seconds: 2, Total Iterations: 9000, Iteration per second: 4500.000000, Best solution: 352160 found at 1s
Seconds: 2, Total Iterations: 9100, Iteration per second: 4550.000000, Best solution: 352160 found at 1s
