Running GRASP algorithm...
Seconds: 0, Iteration: 10, Iteration per second: Infinity, Best solution: 1390352 found at 0s
Seconds: 1, Iteration: 20, Iteration per second: 20.000000, Best solution: 1395824 found at 0s
Seconds: 1, Iteration: 30, Iteration per second: 30.000000, Best solution: 1395824 found at 0s
Seconds: 1, Iteration: 40, Iteration per second: 40.000000, Best solution: 1396821 found at 1s
Seconds: 1, Iteration: 50, Iteration per second: 50.000000, Best solution: 1396992 found at 1s
Seconds: 2, Iteration: 60, Iteration per second: 30.000000, Best solution: 1397639 found at 1s
Seconds: 2, Iteration: 70, Iteration per second: 35.000000, Best solution: 1399035 found at 2s
Seconds: 2, Iteration: 80, Iteration per second: 40.000000, Best solution: 1403741 found at 2s
Seconds: 2, Iteration: 90, Iteration per second: 45.000000, Best solution: 1403741 found at 2s
Seconds: 2, Iteration: 100, Iteration per second: 50.000000, Best solution: 1411016 found at 2s
Seconds: 3, Iteration: 110, Iteration per second: 36.666667, Best solution: 1411016 found at 2s
Seconds: 3, Iteration: 120, Iteration per second: 40.000000, Best solution: 1411016 found at 2s
Seconds: 3, Iteration: 130, Iteration per second: 43.333333, Best solution: 1411016 found at 2s
Seconds: 3, Iteration: 140, Iteration per second: 46.666667, Best solution: 1411016 found at 2s
Seconds: 4, Iteration: 150, Iteration per second: 37.500000, Best solution: 1411348 found at 3s
Seconds: 4, Iteration: 160, Iteration per second: 40.000000, Best solution: 1412565 found at 4s
Seconds: 4, Iteration: 170, Iteration per second: 42.500000, Best solution: 1412565 found at 4s
Seconds: 4, Iteration: 180, Iteration per second: 45.000000, Best solution: 1412565 found at 4s
Seconds: 4, Iteration: 190, Iteration per second: 47.500000, Best solution: 1416049 found at 4s
Seconds: 5, Iteration: 200, Iteration per second: 40.000000, Best solution: 1416049 found at 4s
Seconds: 5, Iteration: 210, Iteration per second: 42.000000, Best solution: 1423032 found at 5s
Seconds: 5, Iteration: 220, Iteration per second: 44.000000, Best solution: 1423032 found at 5s
Seconds: 5, Iteration: 230, Iteration per second: 46.000000, Best solution: 1423032 found at 5s
Seconds: 5, Iteration: 240, Iteration per second: 48.000000, Best solution: 1423032 found at 5s
Seconds: 6, Iteration: 250, Iteration per second: 41.666667, Best solution: 1423032 found at 5s
Seconds: 6, Iteration: 260, Iteration per second: 43.333333, Best solution: 1423032 found at 5s
Seconds: 6, Iteration: 270, Iteration per second: 45.000000, Best solution: 1423057 found at 6s
Seconds: 6, Iteration: 280, Iteration per second: 46.666667, Best solution: 1423057 found at 6s
Seconds: 7, Iteration: 290, Iteration per second: 41.428571, Best solution: 1428113 found at 7s
Seconds: 7, Iteration: 300, Iteration per second: 42.857143, Best solution: 1428113 found at 7s
Seconds: 7, Iteration: 310, Iteration per second: 44.285714, Best solution: 1428113 found at 7s
Seconds: 7, Iteration: 320, Iteration per second: 45.714286, Best solution: 1428113 found at 7s
Seconds: 8, Iteration: 330, Iteration per second: 41.250000, Best solution: 1428113 found at 7s
Seconds: 8, Iteration: 340, Iteration per second: 42.500000, Best solution: 1428113 found at 7s
Seconds: 8, Iteration: 350, Iteration per second: 43.750000, Best solution: 1428113 found at 7s
Seconds: 8, Iteration: 360, Iteration per second: 45.000000, Best solution: 1428124 found at 8s
Seconds: 8, Iteration: 370, Iteration per second: 46.250000, Best solution: 1428124 found at 8s
Seconds: 9, Iteration: 380, Iteration per second: 42.222222, Best solution: 1428485 found at 8s
Seconds: 9, Iteration: 390, Iteration per second: 43.333333, Best solution: 1428485 found at 8s
Seconds: 9, Iteration: 400, Iteration per second: 44.444444, Best solution: 1428485 found at 8s
Seconds: 9, Iteration: 410, Iteration per second: 45.555556, Best solution: 1428485 found at 8s
Seconds: 9, Iteration: 420, Iteration per second: 46.666667, Best solution: 1428485 found at 8s
Seconds: 9, Iteration: 430, Iteration per second: 47.777778, Best solution: 1428485 found at 8s
Seconds: 10, Iteration: 440, Iteration per second: 44.000000, Best solution: 1428526 found at 9s
Seconds: 10, Iteration: 450, Iteration per second: 45.000000, Best solution: 1428526 found at 9s
Seconds: 10, Iteration: 460, Iteration per second: 46.000000, Best solution: 1428526 found at 9s
Seconds: 10, Iteration: 470, Iteration per second: 47.000000, Best solution: 1428526 found at 9s
Seconds: 10, Iteration: 480, Iteration per second: 48.000000, Best solution: 1428526 found at 9s
Seconds: 11, Iteration: 490, Iteration per second: 44.545455, Best solution: 1428527 found at 11s
Seconds: 11, Iteration: 500, Iteration per second: 45.454545, Best solution: 1428527 found at 11s
Seconds: 11, Iteration: 510, Iteration per second: 46.363636, Best solution: 1428527 found at 11s
Seconds: 11, Iteration: 520, Iteration per second: 47.272727, Best solution: 1428527 found at 11s
Seconds: 12, Iteration: 530, Iteration per second: 44.166667, Best solution: 1428527 found at 11s
Seconds: 12, Iteration: 540, Iteration per second: 45.000000, Best solution: 1428527 found at 11s
Seconds: 12, Iteration: 550, Iteration per second: 45.833333, Best solution: 1428527 found at 11s
Seconds: 12, Iteration: 560, Iteration per second: 46.666667, Best solution: 1428527 found at 11s
Seconds: 12, Iteration: 570, Iteration per second: 47.500000, Best solution: 1428527 found at 11s
Seconds: 13, Iteration: 580, Iteration per second: 44.615385, Best solution: 1430717 found at 12s
Seconds: 13, Iteration: 590, Iteration per second: 45.384615, Best solution: 1430717 found at 12s
Seconds: 13, Iteration: 600, Iteration per second: 46.153846, Best solution: 1430791 found at 13s
Seconds: 13, Iteration: 610, Iteration per second: 46.923077, Best solution: 1430791 found at 13s
Seconds: 13, Iteration: 620, Iteration per second: 47.692308, Best solution: 1430791 found at 13s
Seconds: 14, Iteration: 630, Iteration per second: 45.000000, Best solution: 1430791 found at 13s
Seconds: 14, Iteration: 640, Iteration per second: 45.714286, Best solution: 1430791 found at 13s
Seconds: 14, Iteration: 650, Iteration per second: 46.428571, Best solution: 1430791 found at 13s
Seconds: 14, Iteration: 660, Iteration per second: 47.142857, Best solution: 1430791 found at 13s
Seconds: 14, Iteration: 670, Iteration per second: 47.857143, Best solution: 1430791 found at 13s
Seconds: 15, Iteration: 680, Iteration per second: 45.333333, Best solution: 1430791 found at 13s
Seconds: 15, Iteration: 690, Iteration per second: 46.000000, Best solution: 1433897 found at 15s
Seconds: 15, Iteration: 700, Iteration per second: 46.666667, Best solution: 1434195 found at 15s
Seconds: 15, Iteration: 710, Iteration per second: 47.333333, Best solution: 1434195 found at 15s
Seconds: 15, Iteration: 720, Iteration per second: 48.000000, Best solution: 1434195 found at 15s
Seconds: 16, Iteration: 730, Iteration per second: 45.625000, Best solution: 1434257 found at 16s
Seconds: 16, Iteration: 740, Iteration per second: 46.250000, Best solution: 1434257 found at 16s
Seconds: 16, Iteration: 750, Iteration per second: 46.875000, Best solution: 1434257 found at 16s
Seconds: 16, Iteration: 760, Iteration per second: 47.500000, Best solution: 1434257 found at 16s
Seconds: 16, Iteration: 770, Iteration per second: 48.125000, Best solution: 1434257 found at 16s
Seconds: 17, Iteration: 780, Iteration per second: 45.882353, Best solution: 1434257 found at 16s
Seconds: 17, Iteration: 790, Iteration per second: 46.470588, Best solution: 1434257 found at 16s
Seconds: 17, Iteration: 800, Iteration per second: 47.058824, Best solution: 1434257 found at 16s
Seconds: 17, Iteration: 810, Iteration per second: 47.647059, Best solution: 1434257 found at 16s
Seconds: 18, Iteration: 820, Iteration per second: 45.555556, Best solution: 1434897 found at 17s
Seconds: 18, Iteration: 830, Iteration per second: 46.111111, Best solution: 1434897 found at 17s
Seconds: 18, Iteration: 840, Iteration per second: 46.666667, Best solution: 1434897 found at 17s
Seconds: 18, Iteration: 850, Iteration per second: 47.222222, Best solution: 1434897 found at 17s
Seconds: 18, Iteration: 860, Iteration per second: 47.777778, Best solution: 1434897 found at 17s
Seconds: 19, Iteration: 870, Iteration per second: 45.789474, Best solution: 1434897 found at 17s
Seconds: 19, Iteration: 880, Iteration per second: 46.315789, Best solution: 1434897 found at 17s
Seconds: 19, Iteration: 890, Iteration per second: 46.842105, Best solution: 1434897 found at 17s
Seconds: 19, Iteration: 900, Iteration per second: 47.368421, Best solution: 1434897 found at 17s
Seconds: 19, Iteration: 910, Iteration per second: 47.894737, Best solution: 1434897 found at 17s
Seconds: 20, Iteration: 920, Iteration per second: 46.000000, Best solution: 1434897 found at 17s
Seconds: 20, Iteration: 930, Iteration per second: 46.500000, Best solution: 1434897 found at 17s
Seconds: 20, Iteration: 940, Iteration per second: 47.000000, Best solution: 1434897 found at 17s
Seconds: 20, Iteration: 950, Iteration per second: 47.500000, Best solution: 1434897 found at 17s
Seconds: 20, Iteration: 960, Iteration per second: 48.000000, Best solution: 1434897 found at 17s
Seconds: 21, Iteration: 970, Iteration per second: 46.190476, Best solution: 1434897 found at 17s
Seconds: 21, Iteration: 980, Iteration per second: 46.666667, Best solution: 1434897 found at 17s
Seconds: 21, Iteration: 990, Iteration per second: 47.142857, Best solution: 1434897 found at 17s
Seconds: 21, Iteration: 1000, Iteration per second: 47.619048, Best solution: 1434897 found at 17s
Seconds: 21, Iteration: 1010, Iteration per second: 48.095238, Best solution: 1434897 found at 17s
Seconds: 22, Iteration: 1020, Iteration per second: 46.363636, Best solution: 1434897 found at 17s
Seconds: 22, Iteration: 1030, Iteration per second: 46.818182, Best solution: 1434897 found at 17s
Seconds: 22, Iteration: 1040, Iteration per second: 47.272727, Best solution: 1434898 found at 22s
Seconds: 22, Iteration: 1050, Iteration per second: 47.727273, Best solution: 1435172 found at 22s
Seconds: 23, Iteration: 1060, Iteration per second: 46.086957, Best solution: 1435172 found at 22s
Seconds: 23, Iteration: 1070, Iteration per second: 46.521739, Best solution: 1435172 found at 22s
Seconds: 23, Iteration: 1080, Iteration per second: 46.956522, Best solution: 1435172 found at 22s
Seconds: 23, Iteration: 1090, Iteration per second: 47.391304, Best solution: 1435172 found at 22s
Seconds: 23, Iteration: 1100, Iteration per second: 47.826087, Best solution: 1435172 found at 22s
Seconds: 24, Iteration: 1110, Iteration per second: 46.250000, Best solution: 1435172 found at 22s
Seconds: 24, Iteration: 1120, Iteration per second: 46.666667, Best solution: 1435172 found at 22s
Seconds: 24, Iteration: 1130, Iteration per second: 47.083333, Best solution: 1435172 found at 22s
Seconds: 24, Iteration: 1140, Iteration per second: 47.500000, Best solution: 1435172 found at 22s
Seconds: 24, Iteration: 1150, Iteration per second: 47.916667, Best solution: 1435172 found at 22s
Seconds: 25, Iteration: 1160, Iteration per second: 46.400000, Best solution: 1435172 found at 22s
Seconds: 25, Iteration: 1170, Iteration per second: 46.800000, Best solution: 1435172 found at 22s
Seconds: 25, Iteration: 1180, Iteration per second: 47.200000, Best solution: 1435172 found at 22s
Seconds: 25, Iteration: 1190, Iteration per second: 47.600000, Best solution: 1435172 found at 22s
Seconds: 25, Iteration: 1200, Iteration per second: 48.000000, Best solution: 1435172 found at 22s
Seconds: 26, Iteration: 1210, Iteration per second: 46.538462, Best solution: 1435172 found at 22s
Seconds: 26, Iteration: 1220, Iteration per second: 46.923077, Best solution: 1435172 found at 22s
Seconds: 26, Iteration: 1230, Iteration per second: 47.307692, Best solution: 1435172 found at 22s
Seconds: 26, Iteration: 1240, Iteration per second: 47.692308, Best solution: 1435172 found at 22s
Seconds: 26, Iteration: 1250, Iteration per second: 48.076923, Best solution: 1435172 found at 22s
Seconds: 27, Iteration: 1260, Iteration per second: 46.666667, Best solution: 1435172 found at 22s
Seconds: 27, Iteration: 1270, Iteration per second: 47.037037, Best solution: 1435172 found at 22s
Seconds: 27, Iteration: 1280, Iteration per second: 47.407407, Best solution: 1435172 found at 22s
Seconds: 27, Iteration: 1290, Iteration per second: 47.777778, Best solution: 1435172 found at 22s
Seconds: 27, Iteration: 1300, Iteration per second: 48.148148, Best solution: 1435172 found at 22s
Seconds: 28, Iteration: 1310, Iteration per second: 46.785714, Best solution: 1435172 found at 22s
Seconds: 28, Iteration: 1320, Iteration per second: 47.142857, Best solution: 1435172 found at 22s
Seconds: 28, Iteration: 1330, Iteration per second: 47.500000, Best solution: 1435172 found at 22s
Seconds: 28, Iteration: 1340, Iteration per second: 47.857143, Best solution: 1435172 found at 22s
Seconds: 29, Iteration: 1350, Iteration per second: 46.551724, Best solution: 1437540 found at 28s
Seconds: 29, Iteration: 1360, Iteration per second: 46.896552, Best solution: 1437540 found at 28s
Seconds: 29, Iteration: 1370, Iteration per second: 47.241379, Best solution: 1437540 found at 28s
Seconds: 29, Iteration: 1380, Iteration per second: 47.586207, Best solution: 1437540 found at 28s
