Running GRASP algorithm...
Seconds: 1, Iteration: 10, Iteration per second: 10.000000, Best solution: 1037046 found at 1s
Seconds: 2, Iteration: 20, Iteration per second: 10.000000, Best solution: 1042974 found at 2s
Seconds: 3, Iteration: 30, Iteration per second: 10.000000, Best solution: 1042974 found at 2s
Seconds: 3, Iteration: 40, Iteration per second: 13.333333, Best solution: 1042974 found at 2s
Seconds: 4, Iteration: 50, Iteration per second: 12.500000, Best solution: 1042974 found at 2s
Seconds: 4, Iteration: 60, Iteration per second: 15.000000, Best solution: 1051289 found at 4s
Seconds: 4, Iteration: 70, Iteration per second: 17.500000, Best solution: 1052587 found at 4s
Seconds: 5, Iteration: 80, Iteration per second: 16.000000, Best solution: 1061435 found at 4s
Seconds: 5, Iteration: 90, Iteration per second: 18.000000, Best solution: 1066038 found at 5s
Seconds: 5, Iteration: 100, Iteration per second: 20.000000, Best solution: 1070440 found at 5s
Seconds: 5, Iteration: 110, Iteration per second: 22.000000, Best solution: 1070440 found at 5s
Seconds: 6, Iteration: 120, Iteration per second: 20.000000, Best solution: 1076405 found at 6s
Seconds: 6, Iteration: 130, Iteration per second: 21.666667, Best solution: 1076405 found at 6s
Seconds: 6, Iteration: 140, Iteration per second: 23.333333, Best solution: 1076894 found at 6s
Seconds: 7, Iteration: 150, Iteration per second: 21.428571, Best solution: 1076894 found at 6s
Seconds: 7, Iteration: 160, Iteration per second: 22.857143, Best solution: 1076894 found at 6s
Seconds: 7, Iteration: 170, Iteration per second: 24.285714, Best solution: 1077403 found at 7s
Seconds: 7, Iteration: 180, Iteration per second: 25.714286, Best solution: 1077403 found at 7s
Seconds: 8, Iteration: 190, Iteration per second: 23.750000, Best solution: 1077403 found at 7s
Seconds: 8, Iteration: 200, Iteration per second: 25.000000, Best solution: 1077403 found at 7s
Seconds: 8, Iteration: 210, Iteration per second: 26.250000, Best solution: 1077403 found at 7s
Seconds: 8, Iteration: 220, Iteration per second: 27.500000, Best solution: 1081388 found at 8s
Seconds: 9, Iteration: 230, Iteration per second: 25.555556, Best solution: 1083894 found at 8s
Seconds: 9, Iteration: 240, Iteration per second: 26.666667, Best solution: 1083894 found at 8s
Seconds: 9, Iteration: 250, Iteration per second: 27.777778, Best solution: 1083894 found at 8s
Seconds: 10, Iteration: 260, Iteration per second: 26.000000, Best solution: 1083894 found at 8s
Seconds: 10, Iteration: 270, Iteration per second: 27.000000, Best solution: 1085761 found at 10s
Seconds: 10, Iteration: 280, Iteration per second: 28.000000, Best solution: 1086339 found at 10s
Seconds: 10, Iteration: 290, Iteration per second: 29.000000, Best solution: 1086444 found at 10s
Seconds: 11, Iteration: 300, Iteration per second: 27.272727, Best solution: 1087331 found at 11s
