Running GRASP algorithm...
Running with 31 threads (Available processors: 31).
Seconds: 1, Total Iterations: 100, Iteration per second: 100.000000, Best solution: 838556 found at 1s
Seconds: 2, Total Iterations: 200, Iteration per second: 100.000000, Best solution: 855084 found at 1s
Seconds: 2, Total Iterations: 300, Iteration per second: 150.000000, Best solution: 858862 found at 2s
Seconds: 2, Total Iterations: 400, Iteration per second: 200.000000, Best solution: 860048 found at 2s
Seconds: 3, Total Iterations: 500, Iteration per second: 166.666667, Best solution: 861227 found at 2s
Seconds: 3, Total Iterations: 600, Iteration per second: 200.000000, Best solution: 861227 found at 2s
Seconds: 3, Total Iterations: 700, Iteration per second: 233.333333, Best solution: 861227 found at 2s
Seconds: 3, Total Iterations: 800, Iteration per second: 266.666667, Best solution: 861227 found at 2s
Seconds: 4, Total Iterations: 900, Iteration per second: 225.000000, Best solution: 861227 found at 2s
Seconds: 4, Total Iterations: 1000, Iteration per second: 250.000000, Best solution: 861227 found at 2s
Seconds: 4, Total Iterations: 1100, Iteration per second: 275.000000, Best solution: 861227 found at 2s
Seconds: 5, Total Iterations: 1200, Iteration per second: 240.000000, Best solution: 861227 found at 2s
Seconds: 5, Total Iterations: 1300, Iteration per second: 260.000000, Best solution: 861555 found at 5s
Seconds: 5, Total Iterations: 1400, Iteration per second: 280.000000, Best solution: 861784 found at 5s
Seconds: 6, Total Iterations: 1500, Iteration per second: 250.000000, Best solution: 862212 found at 6s
Seconds: 6, Total Iterations: 1600, Iteration per second: 266.666667, Best solution: 862525 found at 6s
Seconds: 6, Total Iterations: 1700, Iteration per second: 283.333333, Best solution: 862525 found at 6s
Seconds: 7, Total Iterations: 1800, Iteration per second: 257.142857, Best solution: 862525 found at 6s
Seconds: 7, Total Iterations: 1900, Iteration per second: 271.428571, Best solution: 862527 found at 7s
Seconds: 7, Total Iterations: 2000, Iteration per second: 285.714286, Best solution: 862527 found at 7s
Seconds: 8, Total Iterations: 2100, Iteration per second: 262.500000, Best solution: 862527 found at 7s
Seconds: 8, Total Iterations: 2200, Iteration per second: 275.000000, Best solution: 862527 found at 7s
Seconds: 8, Total Iterations: 2300, Iteration per second: 287.500000, Best solution: 862847 found at 8s
Seconds: 9, Total Iterations: 2400, Iteration per second: 266.666667, Best solution: 862847 found at 8s
Seconds: 9, Total Iterations: 2500, Iteration per second: 277.777778, Best solution: 862847 found at 8s
Seconds: 9, Total Iterations: 2600, Iteration per second: 288.888889, Best solution: 862847 found at 8s
Seconds: 10, Total Iterations: 2700, Iteration per second: 270.000000, Best solution: 862847 found at 8s
Seconds: 10, Total Iterations: 2800, Iteration per second: 280.000000, Best solution: 862847 found at 8s
Seconds: 10, Total Iterations: 2900, Iteration per second: 290.000000, Best solution: 862847 found at 8s
Seconds: 11, Total Iterations: 3000, Iteration per second: 272.727273, Best solution: 862847 found at 8s
Seconds: 11, Total Iterations: 3100, Iteration per second: 281.818182, Best solution: 862847 found at 8s
Seconds: 11, Total Iterations: 3200, Iteration per second: 290.909091, Best solution: 862847 found at 8s
Seconds: 11, Total Iterations: 3300, Iteration per second: 300.000000, Best solution: 862847 found at 8s
Seconds: 12, Total Iterations: 3400, Iteration per second: 283.333333, Best solution: 862847 found at 8s
Seconds: 12, Total Iterations: 3500, Iteration per second: 291.666667, Best solution: 862847 found at 8s
Seconds: 12, Total Iterations: 3600, Iteration per second: 300.000000, Best solution: 862847 found at 8s
Seconds: 13, Total Iterations: 3700, Iteration per second: 284.615385, Best solution: 862847 found at 8s
Seconds: 13, Total Iterations: 3800, Iteration per second: 292.307692, Best solution: 862847 found at 8s
Seconds: 13, Total Iterations: 3900, Iteration per second: 300.000000, Best solution: 862847 found at 8s
Seconds: 14, Total Iterations: 4000, Iteration per second: 285.714286, Best solution: 862847 found at 8s
Seconds: 14, Total Iterations: 4100, Iteration per second: 292.857143, Best solution: 862847 found at 8s
Seconds: 14, Total Iterations: 4200, Iteration per second: 300.000000, Best solution: 862847 found at 8s
Seconds: 15, Total Iterations: 4300, Iteration per second: 286.666667, Best solution: 862847 found at 8s
Seconds: 15, Total Iterations: 4400, Iteration per second: 293.333333, Best solution: 862928 found at 15s
Seconds: 15, Total Iterations: 4500, Iteration per second: 300.000000, Best solution: 862928 found at 15s
Seconds: 16, Total Iterations: 4600, Iteration per second: 287.500000, Best solution: 862928 found at 15s
Seconds: 16, Total Iterations: 4700, Iteration per second: 293.750000, Best solution: 862928 found at 15s
Seconds: 16, Total Iterations: 4800, Iteration per second: 300.000000, Best solution: 862928 found at 15s
Seconds: 17, Total Iterations: 4900, Iteration per second: 288.235294, Best solution: 862928 found at 15s
Seconds: 17, Total Iterations: 5000, Iteration per second: 294.117647, Best solution: 862928 found at 15s
Seconds: 17, Total Iterations: 5100, Iteration per second: 300.000000, Best solution: 862928 found at 15s
Seconds: 18, Total Iterations: 5200, Iteration per second: 288.888889, Best solution: 862928 found at 15s
Seconds: 18, Total Iterations: 5300, Iteration per second: 294.444444, Best solution: 862928 found at 15s
Seconds: 18, Total Iterations: 5400, Iteration per second: 300.000000, Best solution: 862928 found at 15s
Seconds: 18, Total Iterations: 5500, Iteration per second: 305.555556, Best solution: 862928 found at 15s
Seconds: 19, Total Iterations: 5600, Iteration per second: 294.736842, Best solution: 862928 found at 15s
Seconds: 19, Total Iterations: 5700, Iteration per second: 300.000000, Best solution: 862928 found at 15s
Seconds: 19, Total Iterations: 5800, Iteration per second: 305.263158, Best solution: 862928 found at 15s
Seconds: 20, Total Iterations: 5900, Iteration per second: 295.000000, Best solution: 862928 found at 15s
Seconds: 20, Total Iterations: 6000, Iteration per second: 300.000000, Best solution: 862928 found at 15s
Seconds: 20, Total Iterations: 6100, Iteration per second: 305.000000, Best solution: 862928 found at 15s
Seconds: 21, Total Iterations: 6200, Iteration per second: 295.238095, Best solution: 862928 found at 15s
Seconds: 21, Total Iterations: 6300, Iteration per second: 300.000000, Best solution: 862928 found at 15s
Seconds: 21, Total Iterations: 6400, Iteration per second: 304.761905, Best solution: 862928 found at 15s
Seconds: 22, Total Iterations: 6500, Iteration per second: 295.454545, Best solution: 862928 found at 15s
Seconds: 22, Total Iterations: 6600, Iteration per second: 300.000000, Best solution: 862928 found at 15s
Seconds: 22, Total Iterations: 6700, Iteration per second: 304.545455, Best solution: 862928 found at 15s
Seconds: 23, Total Iterations: 6800, Iteration per second: 295.652174, Best solution: 862928 found at 15s
Seconds: 23, Total Iterations: 6900, Iteration per second: 300.000000, Best solution: 862928 found at 15s
Seconds: 23, Total Iterations: 7000, Iteration per second: 304.347826, Best solution: 862928 found at 15s
Seconds: 24, Total Iterations: 7100, Iteration per second: 295.833333, Best solution: 862928 found at 15s
Seconds: 24, Total Iterations: 7200, Iteration per second: 300.000000, Best solution: 862928 found at 15s
Seconds: 24, Total Iterations: 7300, Iteration per second: 304.166667, Best solution: 862928 found at 15s
Seconds: 25, Total Iterations: 7400, Iteration per second: 296.000000, Best solution: 862928 found at 15s
Seconds: 25, Total Iterations: 7500, Iteration per second: 300.000000, Best solution: 862928 found at 15s
Seconds: 25, Total Iterations: 7600, Iteration per second: 304.000000, Best solution: 862928 found at 15s
Seconds: 25, Total Iterations: 7700, Iteration per second: 308.000000, Best solution: 862928 found at 15s
Seconds: 26, Total Iterations: 7800, Iteration per second: 300.000000, Best solution: 862928 found at 15s
Seconds: 26, Total Iterations: 7900, Iteration per second: 303.846154, Best solution: 862928 found at 15s
Seconds: 26, Total Iterations: 8000, Iteration per second: 307.692308, Best solution: 862928 found at 15s
Seconds: 27, Total Iterations: 8100, Iteration per second: 300.000000, Best solution: 862928 found at 15s
Seconds: 27, Total Iterations: 8200, Iteration per second: 303.703704, Best solution: 862928 found at 15s
Seconds: 27, Total Iterations: 8300, Iteration per second: 307.407407, Best solution: 862928 found at 15s
Seconds: 28, Total Iterations: 8400, Iteration per second: 300.000000, Best solution: 862928 found at 15s
Seconds: 28, Total Iterations: 8500, Iteration per second: 303.571429, Best solution: 862928 found at 15s
Seconds: 28, Total Iterations: 8600, Iteration per second: 307.142857, Best solution: 862928 found at 15s
Seconds: 29, Total Iterations: 8700, Iteration per second: 300.000000, Best solution: 862928 found at 15s
Seconds: 29, Total Iterations: 8800, Iteration per second: 303.448276, Best solution: 862928 found at 15s
Seconds: 29, Total Iterations: 8900, Iteration per second: 306.896552, Best solution: 862928 found at 15s
Seconds: 30, Total Iterations: 9000, Iteration per second: 300.000000, Best solution: 862928 found at 15s
Seconds: 30, Total Iterations: 9100, Iteration per second: 303.333333, Best solution: 862928 found at 15s
Seconds: 30, Total Iterations: 9200, Iteration per second: 306.666667, Best solution: 862928 found at 15s
Seconds: 31, Total Iterations: 9300, Iteration per second: 300.000000, Best solution: 862928 found at 15s
Seconds: 31, Total Iterations: 9400, Iteration per second: 303.225806, Best solution: 862928 found at 15s
Seconds: 31, Total Iterations: 9500, Iteration per second: 306.451613, Best solution: 862928 found at 15s
Seconds: 32, Total Iterations: 9600, Iteration per second: 300.000000, Best solution: 862928 found at 15s
Seconds: 32, Total Iterations: 9700, Iteration per second: 303.125000, Best solution: 862928 found at 15s
Seconds: 32, Total Iterations: 9800, Iteration per second: 306.250000, Best solution: 862928 found at 15s
Seconds: 32, Total Iterations: 9900, Iteration per second: 309.375000, Best solution: 862928 found at 15s
Seconds: 33, Total Iterations: 10000, Iteration per second: 303.030303, Best solution: 862928 found at 15s
Seconds: 33, Total Iterations: 10100, Iteration per second: 306.060606, Best solution: 862928 found at 15s
Seconds: 33, Total Iterations: 10200, Iteration per second: 309.090909, Best solution: 862928 found at 15s
Seconds: 34, Total Iterations: 10300, Iteration per second: 302.941176, Best solution: 862928 found at 15s
Seconds: 34, Total Iterations: 10400, Iteration per second: 305.882353, Best solution: 862928 found at 15s
Seconds: 34, Total Iterations: 10500, Iteration per second: 308.823529, Best solution: 862928 found at 15s
Seconds: 35, Total Iterations: 10600, Iteration per second: 302.857143, Best solution: 862928 found at 15s
Seconds: 35, Total Iterations: 10700, Iteration per second: 305.714286, Best solution: 862928 found at 15s
Seconds: 35, Total Iterations: 10800, Iteration per second: 308.571429, Best solution: 862928 found at 15s
Seconds: 36, Total Iterations: 10900, Iteration per second: 302.777778, Best solution: 862928 found at 15s
Seconds: 36, Total Iterations: 11000, Iteration per second: 305.555556, Best solution: 862928 found at 15s
Seconds: 36, Total Iterations: 11100, Iteration per second: 308.333333, Best solution: 862928 found at 15s
Seconds: 37, Total Iterations: 11200, Iteration per second: 302.702703, Best solution: 862928 found at 15s
Seconds: 37, Total Iterations: 11300, Iteration per second: 305.405405, Best solution: 862928 found at 15s
Seconds: 37, Total Iterations: 11400, Iteration per second: 308.108108, Best solution: 862928 found at 15s
Seconds: 38, Total Iterations: 11500, Iteration per second: 302.631579, Best solution: 862928 found at 15s
Seconds: 38, Total Iterations: 11600, Iteration per second: 305.263158, Best solution: 862928 found at 15s
Seconds: 38, Total Iterations: 11700, Iteration per second: 307.894737, Best solution: 862928 found at 15s
Seconds: 39, Total Iterations: 11800, Iteration per second: 302.564103, Best solution: 862928 found at 15s
Seconds: 39, Total Iterations: 11900, Iteration per second: 305.128205, Best solution: 862928 found at 15s
Seconds: 39, Total Iterations: 12000, Iteration per second: 307.692308, Best solution: 862928 found at 15s
Seconds: 39, Total Iterations: 12100, Iteration per second: 310.256410, Best solution: 862928 found at 15s
Seconds: 40, Total Iterations: 12200, Iteration per second: 305.000000, Best solution: 862928 found at 15s
Seconds: 40, Total Iterations: 12300, Iteration per second: 307.500000, Best solution: 862928 found at 15s
Seconds: 40, Total Iterations: 12400, Iteration per second: 310.000000, Best solution: 862928 found at 15s
Seconds: 41, Total Iterations: 12500, Iteration per second: 304.878049, Best solution: 862928 found at 15s
Seconds: 41, Total Iterations: 12600, Iteration per second: 307.317073, Best solution: 862928 found at 15s
Seconds: 41, Total Iterations: 12700, Iteration per second: 309.756098, Best solution: 862928 found at 15s
Seconds: 42, Total Iterations: 12800, Iteration per second: 304.761905, Best solution: 862928 found at 15s
Seconds: 42, Total Iterations: 12900, Iteration per second: 307.142857, Best solution: 862928 found at 15s
Seconds: 42, Total Iterations: 13000, Iteration per second: 309.523810, Best solution: 862928 found at 15s
Seconds: 43, Total Iterations: 13100, Iteration per second: 304.651163, Best solution: 862928 found at 15s
Seconds: 43, Total Iterations: 13200, Iteration per second: 306.976744, Best solution: 862928 found at 15s
Seconds: 43, Total Iterations: 13300, Iteration per second: 309.302326, Best solution: 862928 found at 15s
Seconds: 44, Total Iterations: 13400, Iteration per second: 304.545455, Best solution: 862928 found at 15s
Seconds: 44, Total Iterations: 13500, Iteration per second: 306.818182, Best solution: 862928 found at 15s
Seconds: 44, Total Iterations: 13600, Iteration per second: 309.090909, Best solution: 862928 found at 15s
Seconds: 45, Total Iterations: 13700, Iteration per second: 304.444444, Best solution: 862928 found at 15s
Seconds: 45, Total Iterations: 13800, Iteration per second: 306.666667, Best solution: 862928 found at 15s
Seconds: 45, Total Iterations: 13900, Iteration per second: 308.888889, Best solution: 862928 found at 15s
Seconds: 46, Total Iterations: 14000, Iteration per second: 304.347826, Best solution: 862928 found at 15s
Seconds: 46, Total Iterations: 14100, Iteration per second: 306.521739, Best solution: 862928 found at 15s
Seconds: 46, Total Iterations: 14200, Iteration per second: 308.695652, Best solution: 862928 found at 15s
Seconds: 47, Total Iterations: 14300, Iteration per second: 304.255319, Best solution: 862928 found at 15s
Seconds: 47, Total Iterations: 14400, Iteration per second: 306.382979, Best solution: 862928 found at 15s
Seconds: 47, Total Iterations: 14500, Iteration per second: 308.510638, Best solution: 862928 found at 15s
Seconds: 47, Total Iterations: 14600, Iteration per second: 310.638298, Best solution: 862928 found at 15s
Seconds: 48, Total Iterations: 14700, Iteration per second: 306.250000, Best solution: 862928 found at 15s
Seconds: 48, Total Iterations: 14800, Iteration per second: 308.333333, Best solution: 862928 found at 15s
Seconds: 48, Total Iterations: 14900, Iteration per second: 310.416667, Best solution: 862928 found at 15s
Seconds: 49, Total Iterations: 15000, Iteration per second: 306.122449, Best solution: 862928 found at 15s
Seconds: 49, Total Iterations: 15100, Iteration per second: 308.163265, Best solution: 862928 found at 15s
Seconds: 49, Total Iterations: 15200, Iteration per second: 310.204082, Best solution: 862928 found at 15s
Seconds: 50, Total Iterations: 15300, Iteration per second: 306.000000, Best solution: 862928 found at 15s
Seconds: 50, Total Iterations: 15400, Iteration per second: 308.000000, Best solution: 862928 found at 15s
Seconds: 50, Total Iterations: 15500, Iteration per second: 310.000000, Best solution: 862928 found at 15s
Seconds: 51, Total Iterations: 15600, Iteration per second: 305.882353, Best solution: 862928 found at 15s
Seconds: 51, Total Iterations: 15700, Iteration per second: 307.843137, Best solution: 862928 found at 15s
Seconds: 51, Total Iterations: 15800, Iteration per second: 309.803922, Best solution: 862928 found at 15s
Seconds: 52, Total Iterations: 15900, Iteration per second: 305.769231, Best solution: 862928 found at 15s
Seconds: 52, Total Iterations: 16000, Iteration per second: 307.692308, Best solution: 862928 found at 15s
Seconds: 52, Total Iterations: 16100, Iteration per second: 309.615385, Best solution: 862928 found at 15s
Seconds: 53, Total Iterations: 16200, Iteration per second: 305.660377, Best solution: 862928 found at 15s
Seconds: 53, Total Iterations: 16300, Iteration per second: 307.547170, Best solution: 862928 found at 15s
Seconds: 53, Total Iterations: 16400, Iteration per second: 309.433962, Best solution: 862928 found at 15s
Seconds: 53, Total Iterations: 16500, Iteration per second: 311.320755, Best solution: 862928 found at 15s
Seconds: 54, Total Iterations: 16600, Iteration per second: 307.407407, Best solution: 862928 found at 15s
Seconds: 54, Total Iterations: 16700, Iteration per second: 309.259259, Best solution: 862928 found at 15s
Seconds: 54, Total Iterations: 16800, Iteration per second: 311.111111, Best solution: 862928 found at 15s
Seconds: 55, Total Iterations: 16900, Iteration per second: 307.272727, Best solution: 862928 found at 15s
Seconds: 55, Total Iterations: 17000, Iteration per second: 309.090909, Best solution: 862928 found at 15s
Seconds: 55, Total Iterations: 17100, Iteration per second: 310.909091, Best solution: 862928 found at 15s
Seconds: 56, Total Iterations: 17200, Iteration per second: 307.142857, Best solution: 862928 found at 15s
Seconds: 56, Total Iterations: 17300, Iteration per second: 308.928571, Best solution: 862928 found at 15s
Seconds: 56, Total Iterations: 17400, Iteration per second: 310.714286, Best solution: 862928 found at 15s
Seconds: 57, Total Iterations: 17500, Iteration per second: 307.017544, Best solution: 862928 found at 15s
Seconds: 57, Total Iterations: 17600, Iteration per second: 308.771930, Best solution: 862928 found at 15s
Seconds: 57, Total Iterations: 17700, Iteration per second: 310.526316, Best solution: 862928 found at 15s
Seconds: 58, Total Iterations: 17800, Iteration per second: 306.896552, Best solution: 862928 found at 15s
Seconds: 58, Total Iterations: 17900, Iteration per second: 308.620690, Best solution: 862928 found at 15s
Seconds: 58, Total Iterations: 18000, Iteration per second: 310.344828, Best solution: 862928 found at 15s
Seconds: 59, Total Iterations: 18100, Iteration per second: 306.779661, Best solution: 862928 found at 15s
Seconds: 59, Total Iterations: 18200, Iteration per second: 308.474576, Best solution: 862928 found at 15s
Seconds: 59, Total Iterations: 18300, Iteration per second: 310.169492, Best solution: 862928 found at 15s
Seconds: 60, Total Iterations: 18400, Iteration per second: 306.666667, Best solution: 862928 found at 15s
Seconds: 60, Total Iterations: 18500, Iteration per second: 308.333333, Best solution: 862928 found at 15s
Seconds: 60, Total Iterations: 18600, Iteration per second: 310.000000, Best solution: 862928 found at 15s
Seconds: 60, Total Iterations: 18700, Iteration per second: 311.666667, Best solution: 862928 found at 15s
Seconds: 61, Total Iterations: 18800, Iteration per second: 308.196721, Best solution: 862928 found at 15s
Seconds: 61, Total Iterations: 18900, Iteration per second: 309.836066, Best solution: 862928 found at 15s
Seconds: 61, Total Iterations: 19000, Iteration per second: 311.475410, Best solution: 862928 found at 15s
Seconds: 62, Total Iterations: 19100, Iteration per second: 308.064516, Best solution: 862928 found at 15s
Seconds: 62, Total Iterations: 19200, Iteration per second: 309.677419, Best solution: 862928 found at 15s
Seconds: 62, Total Iterations: 19300, Iteration per second: 311.290323, Best solution: 862928 found at 15s
Seconds: 63, Total Iterations: 19400, Iteration per second: 307.936508, Best solution: 862928 found at 15s
Seconds: 63, Total Iterations: 19500, Iteration per second: 309.523810, Best solution: 862928 found at 15s
Seconds: 63, Total Iterations: 19600, Iteration per second: 311.111111, Best solution: 862928 found at 15s
Seconds: 64, Total Iterations: 19700, Iteration per second: 307.812500, Best solution: 862928 found at 15s
Seconds: 64, Total Iterations: 19800, Iteration per second: 309.375000, Best solution: 862928 found at 15s
Seconds: 64, Total Iterations: 19900, Iteration per second: 310.937500, Best solution: 862928 found at 15s
Seconds: 65, Total Iterations: 20000, Iteration per second: 307.692308, Best solution: 862928 found at 15s
Seconds: 65, Total Iterations: 20100, Iteration per second: 309.230769, Best solution: 862928 found at 15s
Seconds: 65, Total Iterations: 20200, Iteration per second: 310.769231, Best solution: 862928 found at 15s
Seconds: 66, Total Iterations: 20300, Iteration per second: 307.575758, Best solution: 862928 found at 15s
Seconds: 66, Total Iterations: 20400, Iteration per second: 309.090909, Best solution: 862928 found at 15s
Seconds: 66, Total Iterations: 20500, Iteration per second: 310.606061, Best solution: 862928 found at 15s
Seconds: 67, Total Iterations: 20600, Iteration per second: 307.462687, Best solution: 862928 found at 15s
Seconds: 67, Total Iterations: 20700, Iteration per second: 308.955224, Best solution: 862928 found at 15s
Seconds: 67, Total Iterations: 20800, Iteration per second: 310.447761, Best solution: 862928 found at 15s
Seconds: 68, Total Iterations: 20900, Iteration per second: 307.352941, Best solution: 862928 found at 15s
Seconds: 68, Total Iterations: 21000, Iteration per second: 308.823529, Best solution: 862928 found at 15s
Seconds: 68, Total Iterations: 21100, Iteration per second: 310.294118, Best solution: 862928 found at 15s
Seconds: 68, Total Iterations: 21200, Iteration per second: 311.764706, Best solution: 862928 found at 15s
Seconds: 69, Total Iterations: 21300, Iteration per second: 308.695652, Best solution: 862928 found at 15s
Seconds: 69, Total Iterations: 21400, Iteration per second: 310.144928, Best solution: 862928 found at 15s
Seconds: 69, Total Iterations: 21500, Iteration per second: 311.594203, Best solution: 862928 found at 15s
Seconds: 70, Total Iterations: 21600, Iteration per second: 308.571429, Best solution: 862928 found at 15s
Seconds: 70, Total Iterations: 21700, Iteration per second: 310.000000, Best solution: 862928 found at 15s
Seconds: 70, Total Iterations: 21800, Iteration per second: 311.428571, Best solution: 862928 found at 15s
Seconds: 71, Total Iterations: 21900, Iteration per second: 308.450704, Best solution: 862928 found at 15s
Seconds: 71, Total Iterations: 22000, Iteration per second: 309.859155, Best solution: 862928 found at 15s
Seconds: 71, Total Iterations: 22100, Iteration per second: 311.267606, Best solution: 862928 found at 15s
Seconds: 72, Total Iterations: 22200, Iteration per second: 308.333333, Best solution: 862928 found at 15s
Seconds: 72, Total Iterations: 22300, Iteration per second: 309.722222, Best solution: 862928 found at 15s
Seconds: 72, Total Iterations: 22400, Iteration per second: 311.111111, Best solution: 862928 found at 15s
Seconds: 73, Total Iterations: 22500, Iteration per second: 308.219178, Best solution: 862928 found at 15s
Seconds: 73, Total Iterations: 22600, Iteration per second: 309.589041, Best solution: 862928 found at 15s
Seconds: 73, Total Iterations: 22700, Iteration per second: 310.958904, Best solution: 862928 found at 15s
Seconds: 74, Total Iterations: 22800, Iteration per second: 308.108108, Best solution: 862928 found at 15s
Seconds: 74, Total Iterations: 22900, Iteration per second: 309.459459, Best solution: 862928 found at 15s
Seconds: 74, Total Iterations: 23000, Iteration per second: 310.810811, Best solution: 862928 found at 15s
Seconds: 75, Total Iterations: 23100, Iteration per second: 308.000000, Best solution: 862928 found at 15s
Seconds: 75, Total Iterations: 23200, Iteration per second: 309.333333, Best solution: 862928 found at 15s
Seconds: 75, Total Iterations: 23300, Iteration per second: 310.666667, Best solution: 862928 found at 15s
Seconds: 75, Total Iterations: 23400, Iteration per second: 312.000000, Best solution: 862928 found at 15s
Seconds: 76, Total Iterations: 23500, Iteration per second: 309.210526, Best solution: 862928 found at 15s
Seconds: 76, Total Iterations: 23600, Iteration per second: 310.526316, Best solution: 862928 found at 15s
Seconds: 76, Total Iterations: 23700, Iteration per second: 311.842105, Best solution: 862928 found at 15s
Seconds: 77, Total Iterations: 23800, Iteration per second: 309.090909, Best solution: 862928 found at 15s
Seconds: 77, Total Iterations: 23900, Iteration per second: 310.389610, Best solution: 862928 found at 15s
Seconds: 77, Total Iterations: 24000, Iteration per second: 311.688312, Best solution: 862928 found at 15s
Seconds: 78, Total Iterations: 24100, Iteration per second: 308.974359, Best solution: 862928 found at 15s
Seconds: 78, Total Iterations: 24200, Iteration per second: 310.256410, Best solution: 862928 found at 15s
Seconds: 78, Total Iterations: 24300, Iteration per second: 311.538462, Best solution: 862928 found at 15s
Seconds: 79, Total Iterations: 24400, Iteration per second: 308.860759, Best solution: 862928 found at 15s
