Running GRASP algorithm...
Running with 31 threads (Available processors: 31).
Seconds: 2, Total Iterations: 100, Iteration per second: 50.000000, Best solution: 603301 found at 2s
Seconds: 3, Total Iterations: 200, Iteration per second: 66.666667, Best solution: 604870 found at 3s
Seconds: 4, Total Iterations: 300, Iteration per second: 75.000000, Best solution: 605052 found at 4s
Seconds: 4, Total Iterations: 400, Iteration per second: 100.000000, Best solution: 605052 found at 4s
Seconds: 5, Total Iterations: 500, Iteration per second: 100.000000, Best solution: 605228 found at 5s
Seconds: 6, Total Iterations: 600, Iteration per second: 100.000000, Best solution: 605314 found at 5s
Seconds: 6, Total Iterations: 700, Iteration per second: 116.666667, Best solution: 605314 found at 5s
Seconds: 7, Total Iterations: 800, Iteration per second: 114.285714, Best solution: 605464 found at 6s
Seconds: 7, Total Iterations: 900, Iteration per second: 128.571429, Best solution: 605527 found at 7s
Seconds: 8, Total Iterations: 1000, Iteration per second: 125.000000, Best solution: 605850 found at 8s
Seconds: 8, Total Iterations: 1100, Iteration per second: 137.500000, Best solution: 605850 found at 8s
Seconds: 9, Total Iterations: 1200, Iteration per second: 133.333333, Best solution: 606270 found at 9s
Seconds: 10, Total Iterations: 1300, Iteration per second: 130.000000, Best solution: 606347 found at 9s
Seconds: 10, Total Iterations: 1400, Iteration per second: 140.000000, Best solution: 606418 found at 10s
Seconds: 11, Total Iterations: 1500, Iteration per second: 136.363636, Best solution: 606481 found at 10s
Seconds: 11, Total Iterations: 1600, Iteration per second: 145.454545, Best solution: 606532 found at 11s
Seconds: 12, Total Iterations: 1700, Iteration per second: 141.666667, Best solution: 606576 found at 12s
Seconds: 12, Total Iterations: 1800, Iteration per second: 150.000000, Best solution: 606580 found at 12s
Seconds: 13, Total Iterations: 1900, Iteration per second: 146.153846, Best solution: 606584 found at 13s
Seconds: 13, Total Iterations: 2000, Iteration per second: 153.846154, Best solution: 606615 found at 13s
Seconds: 14, Total Iterations: 2100, Iteration per second: 150.000000, Best solution: 606636 found at 13s
Seconds: 14, Total Iterations: 2200, Iteration per second: 157.142857, Best solution: 606636 found at 13s
Seconds: 15, Total Iterations: 2300, Iteration per second: 153.333333, Best solution: 606838 found at 15s
Seconds: 15, Total Iterations: 2400, Iteration per second: 160.000000, Best solution: 606838 found at 15s
Seconds: 16, Total Iterations: 2500, Iteration per second: 156.250000, Best solution: 606838 found at 15s
Seconds: 16, Total Iterations: 2600, Iteration per second: 162.500000, Best solution: 606838 found at 15s
Seconds: 17, Total Iterations: 2700, Iteration per second: 158.823529, Best solution: 606838 found at 15s
Seconds: 17, Total Iterations: 2800, Iteration per second: 164.705882, Best solution: 606864 found at 17s
Seconds: 17, Total Iterations: 2900, Iteration per second: 170.588235, Best solution: 606864 found at 17s
Seconds: 18, Total Iterations: 3000, Iteration per second: 166.666667, Best solution: 606899 found at 18s
Seconds: 18, Total Iterations: 3100, Iteration per second: 172.222222, Best solution: 606899 found at 18s
Seconds: 19, Total Iterations: 3200, Iteration per second: 168.421053, Best solution: 606899 found at 18s
Seconds: 19, Total Iterations: 3300, Iteration per second: 173.684211, Best solution: 606899 found at 18s
Seconds: 20, Total Iterations: 3400, Iteration per second: 170.000000, Best solution: 606899 found at 18s
Seconds: 20, Total Iterations: 3500, Iteration per second: 175.000000, Best solution: 606899 found at 18s
Seconds: 20, Total Iterations: 3600, Iteration per second: 180.000000, Best solution: 606899 found at 18s
Seconds: 21, Total Iterations: 3700, Iteration per second: 176.190476, Best solution: 606899 found at 18s
Seconds: 21, Total Iterations: 3800, Iteration per second: 180.952381, Best solution: 606899 found at 18s
Seconds: 22, Total Iterations: 3900, Iteration per second: 177.272727, Best solution: 606899 found at 18s
Seconds: 22, Total Iterations: 4000, Iteration per second: 181.818182, Best solution: 606899 found at 18s
Seconds: 22, Total Iterations: 4100, Iteration per second: 186.363636, Best solution: 606899 found at 18s
Seconds: 23, Total Iterations: 4200, Iteration per second: 182.608696, Best solution: 606899 found at 18s
Seconds: 23, Total Iterations: 4300, Iteration per second: 186.956522, Best solution: 606899 found at 18s
Seconds: 24, Total Iterations: 4400, Iteration per second: 183.333333, Best solution: 606899 found at 18s
Seconds: 24, Total Iterations: 4500, Iteration per second: 187.500000, Best solution: 606899 found at 18s
Seconds: 24, Total Iterations: 4600, Iteration per second: 191.666667, Best solution: 606899 found at 18s
Seconds: 25, Total Iterations: 4700, Iteration per second: 188.000000, Best solution: 607035 found at 25s
Seconds: 25, Total Iterations: 4800, Iteration per second: 192.000000, Best solution: 607035 found at 25s
Seconds: 26, Total Iterations: 4900, Iteration per second: 188.461538, Best solution: 607035 found at 25s
Seconds: 26, Total Iterations: 5000, Iteration per second: 192.307692, Best solution: 607035 found at 25s
Seconds: 26, Total Iterations: 5100, Iteration per second: 196.153846, Best solution: 607035 found at 25s
Seconds: 27, Total Iterations: 5200, Iteration per second: 192.592593, Best solution: 607035 found at 25s
Seconds: 27, Total Iterations: 5300, Iteration per second: 196.296296, Best solution: 607035 found at 25s
Seconds: 27, Total Iterations: 5400, Iteration per second: 200.000000, Best solution: 607035 found at 25s
Seconds: 28, Total Iterations: 5500, Iteration per second: 196.428571, Best solution: 607035 found at 25s
Seconds: 28, Total Iterations: 5600, Iteration per second: 200.000000, Best solution: 607035 found at 25s
Seconds: 29, Total Iterations: 5700, Iteration per second: 196.551724, Best solution: 607035 found at 25s
Seconds: 29, Total Iterations: 5800, Iteration per second: 200.000000, Best solution: 607035 found at 25s
Seconds: 29, Total Iterations: 5900, Iteration per second: 203.448276, Best solution: 607035 found at 25s
Seconds: 30, Total Iterations: 6000, Iteration per second: 200.000000, Best solution: 607035 found at 25s
Seconds: 30, Total Iterations: 6100, Iteration per second: 203.333333, Best solution: 607035 found at 25s
Seconds: 31, Total Iterations: 6200, Iteration per second: 200.000000, Best solution: 607035 found at 25s
Seconds: 31, Total Iterations: 6300, Iteration per second: 203.225806, Best solution: 607035 found at 25s
Seconds: 31, Total Iterations: 6400, Iteration per second: 206.451613, Best solution: 607035 found at 25s
Seconds: 32, Total Iterations: 6500, Iteration per second: 203.125000, Best solution: 607035 found at 25s
Seconds: 32, Total Iterations: 6600, Iteration per second: 206.250000, Best solution: 607035 found at 25s
Seconds: 32, Total Iterations: 6700, Iteration per second: 209.375000, Best solution: 607035 found at 25s
Seconds: 33, Total Iterations: 6800, Iteration per second: 206.060606, Best solution: 607035 found at 25s
Seconds: 33, Total Iterations: 6900, Iteration per second: 209.090909, Best solution: 607035 found at 25s
