Running GRASP algorithm...
Seconds: 1, Iteration: 10, Iteration per second: 10.000000, Best solution: 1395495 found at 1s
Seconds: 2, Iteration: 20, Iteration per second: 10.000000, Best solution: 1426913 found at 2s
Seconds: 3, Iteration: 30, Iteration per second: 10.000000, Best solution: 1440823 found at 2s
Seconds: 3, Iteration: 40, Iteration per second: 13.333333, Best solution: 1459363 found at 3s
Seconds: 3, Iteration: 50, Iteration per second: 16.666667, Best solution: 1459363 found at 3s
Seconds: 4, Iteration: 60, Iteration per second: 15.000000, Best solution: 1459363 found at 3s
Seconds: 4, Iteration: 70, Iteration per second: 17.500000, Best solution: 1464378 found at 4s
Seconds: 4, Iteration: 80, Iteration per second: 20.000000, Best solution: 1466910 found at 4s
Seconds: 5, Iteration: 90, Iteration per second: 18.000000, Best solution: 1474930 found at 4s
Seconds: 5, Iteration: 100, Iteration per second: 20.000000, Best solution: 1477415 found at 5s
Seconds: 5, Iteration: 110, Iteration per second: 22.000000, Best solution: 1477583 found at 5s
Seconds: 6, Iteration: 120, Iteration per second: 20.000000, Best solution: 1483246 found at 6s
Seconds: 6, Iteration: 130, Iteration per second: 21.666667, Best solution: 1489236 found at 6s
Seconds: 6, Iteration: 140, Iteration per second: 23.333333, Best solution: 1489236 found at 6s
Seconds: 6, Iteration: 150, Iteration per second: 25.000000, Best solution: 1494176 found at 6s
Seconds: 7, Iteration: 160, Iteration per second: 22.857143, Best solution: 1494239 found at 7s
Seconds: 7, Iteration: 170, Iteration per second: 24.285714, Best solution: 1495648 found at 7s
Seconds: 7, Iteration: 180, Iteration per second: 25.714286, Best solution: 1501395 found at 7s
Seconds: 7, Iteration: 190, Iteration per second: 27.142857, Best solution: 1501395 found at 7s
Seconds: 7, Iteration: 200, Iteration per second: 28.571429, Best solution: 1503144 found at 7s
Seconds: 8, Iteration: 210, Iteration per second: 26.250000, Best solution: 1505083 found at 8s
Seconds: 8, Iteration: 220, Iteration per second: 27.500000, Best solution: 1505779 found at 8s
Seconds: 8, Iteration: 230, Iteration per second: 28.750000, Best solution: 1508670 found at 8s
Seconds: 8, Iteration: 240, Iteration per second: 30.000000, Best solution: 1508670 found at 8s
Seconds: 9, Iteration: 250, Iteration per second: 27.777778, Best solution: 1511291 found at 8s
Seconds: 9, Iteration: 260, Iteration per second: 28.888889, Best solution: 1511291 found at 8s
Seconds: 9, Iteration: 270, Iteration per second: 30.000000, Best solution: 1512119 found at 9s
Seconds: 9, Iteration: 280, Iteration per second: 31.111111, Best solution: 1512119 found at 9s
Seconds: 9, Iteration: 290, Iteration per second: 32.222222, Best solution: 1516309 found at 9s
Seconds: 9, Iteration: 300, Iteration per second: 33.333333, Best solution: 1516309 found at 9s
Seconds: 10, Iteration: 310, Iteration per second: 31.000000, Best solution: 1517132 found at 9s
Seconds: 10, Iteration: 320, Iteration per second: 32.000000, Best solution: 1522203 found at 10s
Seconds: 10, Iteration: 330, Iteration per second: 33.000000, Best solution: 1522203 found at 10s
Seconds: 10, Iteration: 340, Iteration per second: 34.000000, Best solution: 1525590 found at 10s
Seconds: 10, Iteration: 350, Iteration per second: 35.000000, Best solution: 1525590 found at 10s
Seconds: 10, Iteration: 360, Iteration per second: 36.000000, Best solution: 1526366 found at 10s
Seconds: 11, Iteration: 370, Iteration per second: 33.636364, Best solution: 1527753 found at 10s
Seconds: 11, Iteration: 380, Iteration per second: 34.545455, Best solution: 1530142 found at 11s
Seconds: 11, Iteration: 390, Iteration per second: 35.454545, Best solution: 1531135 found at 11s
Seconds: 11, Iteration: 400, Iteration per second: 36.363636, Best solution: 1531135 found at 11s
Seconds: 11, Iteration: 410, Iteration per second: 37.272727, Best solution: 1531135 found at 11s
Seconds: 11, Iteration: 420, Iteration per second: 38.181818, Best solution: 1531135 found at 11s
Seconds: 11, Iteration: 430, Iteration per second: 39.090909, Best solution: 1531135 found at 11s
Seconds: 12, Iteration: 440, Iteration per second: 36.666667, Best solution: 1531390 found at 12s
Seconds: 12, Iteration: 450, Iteration per second: 37.500000, Best solution: 1531390 found at 12s
Seconds: 12, Iteration: 460, Iteration per second: 38.333333, Best solution: 1531390 found at 12s
Seconds: 12, Iteration: 470, Iteration per second: 39.166667, Best solution: 1532050 found at 12s
Seconds: 12, Iteration: 480, Iteration per second: 40.000000, Best solution: 1532050 found at 12s
Seconds: 12, Iteration: 490, Iteration per second: 40.833333, Best solution: 1532050 found at 12s
Seconds: 12, Iteration: 500, Iteration per second: 41.666667, Best solution: 1532050 found at 12s
Seconds: 13, Iteration: 510, Iteration per second: 39.230769, Best solution: 1532050 found at 12s
Seconds: 13, Iteration: 520, Iteration per second: 40.000000, Best solution: 1539929 found at 13s
Seconds: 13, Iteration: 530, Iteration per second: 40.769231, Best solution: 1540376 found at 13s
Seconds: 13, Iteration: 540, Iteration per second: 41.538462, Best solution: 1540376 found at 13s
Seconds: 13, Iteration: 550, Iteration per second: 42.307692, Best solution: 1540510 found at 13s
Seconds: 13, Iteration: 560, Iteration per second: 43.076923, Best solution: 1540510 found at 13s
Seconds: 14, Iteration: 570, Iteration per second: 40.714286, Best solution: 1540510 found at 13s
Seconds: 14, Iteration: 580, Iteration per second: 41.428571, Best solution: 1540510 found at 13s
Seconds: 14, Iteration: 590, Iteration per second: 42.142857, Best solution: 1540803 found at 14s
Seconds: 14, Iteration: 600, Iteration per second: 42.857143, Best solution: 1545828 found at 14s
Seconds: 14, Iteration: 610, Iteration per second: 43.571429, Best solution: 1545828 found at 14s
Seconds: 14, Iteration: 620, Iteration per second: 44.285714, Best solution: 1546007 found at 14s
Seconds: 14, Iteration: 630, Iteration per second: 45.000000, Best solution: 1546007 found at 14s
Seconds: 15, Iteration: 640, Iteration per second: 42.666667, Best solution: 1548146 found at 14s
Seconds: 15, Iteration: 650, Iteration per second: 43.333333, Best solution: 1548187 found at 15s
Seconds: 15, Iteration: 660, Iteration per second: 44.000000, Best solution: 1548187 found at 15s
Seconds: 15, Iteration: 670, Iteration per second: 44.666667, Best solution: 1548187 found at 15s
Seconds: 15, Iteration: 680, Iteration per second: 45.333333, Best solution: 1548187 found at 15s
Seconds: 15, Iteration: 690, Iteration per second: 46.000000, Best solution: 1549277 found at 15s
Seconds: 15, Iteration: 700, Iteration per second: 46.666667, Best solution: 1549515 found at 15s
Seconds: 16, Iteration: 710, Iteration per second: 44.375000, Best solution: 1549515 found at 15s
Seconds: 16, Iteration: 720, Iteration per second: 45.000000, Best solution: 1549515 found at 15s
Seconds: 16, Iteration: 730, Iteration per second: 45.625000, Best solution: 1550308 found at 16s
Seconds: 16, Iteration: 740, Iteration per second: 46.250000, Best solution: 1550308 found at 16s
Seconds: 16, Iteration: 750, Iteration per second: 46.875000, Best solution: 1550308 found at 16s
Seconds: 16, Iteration: 760, Iteration per second: 47.500000, Best solution: 1550308 found at 16s
Seconds: 16, Iteration: 770, Iteration per second: 48.125000, Best solution: 1550308 found at 16s
Seconds: 17, Iteration: 780, Iteration per second: 45.882353, Best solution: 1550308 found at 16s
Seconds: 17, Iteration: 790, Iteration per second: 46.470588, Best solution: 1550308 found at 16s
Seconds: 17, Iteration: 800, Iteration per second: 47.058824, Best solution: 1550308 found at 16s
Seconds: 17, Iteration: 810, Iteration per second: 47.647059, Best solution: 1550308 found at 16s
Seconds: 17, Iteration: 820, Iteration per second: 48.235294, Best solution: 1550423 found at 17s
Seconds: 17, Iteration: 830, Iteration per second: 48.823529, Best solution: 1551280 found at 17s
Seconds: 18, Iteration: 840, Iteration per second: 46.666667, Best solution: 1551280 found at 17s
Seconds: 18, Iteration: 850, Iteration per second: 47.222222, Best solution: 1552527 found at 18s
Seconds: 18, Iteration: 860, Iteration per second: 47.777778, Best solution: 1552527 found at 18s
Seconds: 18, Iteration: 870, Iteration per second: 48.333333, Best solution: 1556706 found at 18s
Seconds: 18, Iteration: 880, Iteration per second: 48.888889, Best solution: 1556706 found at 18s
Seconds: 18, Iteration: 890, Iteration per second: 49.444444, Best solution: 1558220 found at 18s
Seconds: 18, Iteration: 900, Iteration per second: 50.000000, Best solution: 1558220 found at 18s
Seconds: 19, Iteration: 910, Iteration per second: 47.894737, Best solution: 1558220 found at 18s
Seconds: 19, Iteration: 920, Iteration per second: 48.421053, Best solution: 1558220 found at 18s
Seconds: 19, Iteration: 930, Iteration per second: 48.947368, Best solution: 1558220 found at 18s
Seconds: 19, Iteration: 940, Iteration per second: 49.473684, Best solution: 1558966 found at 19s
Seconds: 19, Iteration: 950, Iteration per second: 50.000000, Best solution: 1559556 found at 19s
Seconds: 19, Iteration: 960, Iteration per second: 50.526316, Best solution: 1559556 found at 19s
Seconds: 20, Iteration: 970, Iteration per second: 48.500000, Best solution: 1559561 found at 19s
Seconds: 20, Iteration: 980, Iteration per second: 49.000000, Best solution: 1560834 found at 20s
Seconds: 20, Iteration: 990, Iteration per second: 49.500000, Best solution: 1560834 found at 20s
Seconds: 20, Iteration: 1000, Iteration per second: 50.000000, Best solution: 1560834 found at 20s
Seconds: 20, Iteration: 1010, Iteration per second: 50.500000, Best solution: 1560834 found at 20s
Seconds: 20, Iteration: 1020, Iteration per second: 51.000000, Best solution: 1560834 found at 20s
Seconds: 20, Iteration: 1030, Iteration per second: 51.500000, Best solution: 1560834 found at 20s
Seconds: 21, Iteration: 1040, Iteration per second: 49.523810, Best solution: 1561063 found at 20s
Seconds: 21, Iteration: 1050, Iteration per second: 50.000000, Best solution: 1561063 found at 20s
Seconds: 21, Iteration: 1060, Iteration per second: 50.476190, Best solution: 1561063 found at 20s
Seconds: 21, Iteration: 1070, Iteration per second: 50.952381, Best solution: 1561063 found at 20s
Seconds: 21, Iteration: 1080, Iteration per second: 51.428571, Best solution: 1561063 found at 20s
Seconds: 21, Iteration: 1090, Iteration per second: 51.904762, Best solution: 1561768 found at 21s
Seconds: 21, Iteration: 1100, Iteration per second: 52.380952, Best solution: 1561768 found at 21s
Seconds: 21, Iteration: 1110, Iteration per second: 52.857143, Best solution: 1561768 found at 21s
Seconds: 22, Iteration: 1120, Iteration per second: 50.909091, Best solution: 1561768 found at 21s
Seconds: 22, Iteration: 1130, Iteration per second: 51.363636, Best solution: 1561768 found at 21s
Seconds: 22, Iteration: 1140, Iteration per second: 51.818182, Best solution: 1563433 found at 22s
Seconds: 22, Iteration: 1150, Iteration per second: 52.272727, Best solution: 1563433 found at 22s
Seconds: 22, Iteration: 1160, Iteration per second: 52.727273, Best solution: 1563433 found at 22s
Seconds: 22, Iteration: 1170, Iteration per second: 53.181818, Best solution: 1563433 found at 22s
Seconds: 22, Iteration: 1180, Iteration per second: 53.636364, Best solution: 1563433 found at 22s
Seconds: 23, Iteration: 1190, Iteration per second: 51.739130, Best solution: 1563433 found at 22s
Seconds: 23, Iteration: 1200, Iteration per second: 52.173913, Best solution: 1563433 found at 22s
Seconds: 23, Iteration: 1210, Iteration per second: 52.608696, Best solution: 1563433 found at 22s
Seconds: 23, Iteration: 1220, Iteration per second: 53.043478, Best solution: 1563433 found at 22s
Seconds: 23, Iteration: 1230, Iteration per second: 53.478261, Best solution: 1563433 found at 22s
Seconds: 23, Iteration: 1240, Iteration per second: 53.913043, Best solution: 1563433 found at 22s
Seconds: 23, Iteration: 1250, Iteration per second: 54.347826, Best solution: 1563433 found at 22s
Seconds: 24, Iteration: 1260, Iteration per second: 52.500000, Best solution: 1563433 found at 22s
Seconds: 24, Iteration: 1270, Iteration per second: 52.916667, Best solution: 1563433 found at 22s
Seconds: 24, Iteration: 1280, Iteration per second: 53.333333, Best solution: 1563433 found at 22s
Seconds: 24, Iteration: 1290, Iteration per second: 53.750000, Best solution: 1563433 found at 22s
Seconds: 24, Iteration: 1300, Iteration per second: 54.166667, Best solution: 1563433 found at 22s
Seconds: 24, Iteration: 1310, Iteration per second: 54.583333, Best solution: 1563433 found at 22s
Seconds: 24, Iteration: 1320, Iteration per second: 55.000000, Best solution: 1563433 found at 22s
Seconds: 25, Iteration: 1330, Iteration per second: 53.200000, Best solution: 1563597 found at 25s
Seconds: 25, Iteration: 1340, Iteration per second: 53.600000, Best solution: 1563597 found at 25s
Seconds: 25, Iteration: 1350, Iteration per second: 54.000000, Best solution: 1563752 found at 25s
Seconds: 25, Iteration: 1360, Iteration per second: 54.400000, Best solution: 1563752 found at 25s
Seconds: 25, Iteration: 1370, Iteration per second: 54.800000, Best solution: 1563752 found at 25s
Seconds: 25, Iteration: 1380, Iteration per second: 55.200000, Best solution: 1563752 found at 25s
Seconds: 25, Iteration: 1390, Iteration per second: 55.600000, Best solution: 1563752 found at 25s
Seconds: 26, Iteration: 1400, Iteration per second: 53.846154, Best solution: 1563752 found at 25s
Seconds: 26, Iteration: 1410, Iteration per second: 54.230769, Best solution: 1563752 found at 25s
Seconds: 26, Iteration: 1420, Iteration per second: 54.615385, Best solution: 1563752 found at 25s
Seconds: 26, Iteration: 1430, Iteration per second: 55.000000, Best solution: 1565651 found at 26s
Seconds: 26, Iteration: 1440, Iteration per second: 55.384615, Best solution: 1565651 found at 26s
Seconds: 26, Iteration: 1450, Iteration per second: 55.769231, Best solution: 1565651 found at 26s
Seconds: 26, Iteration: 1460, Iteration per second: 56.153846, Best solution: 1565651 found at 26s
Seconds: 27, Iteration: 1470, Iteration per second: 54.444444, Best solution: 1565651 found at 26s
Seconds: 27, Iteration: 1480, Iteration per second: 54.814815, Best solution: 1565651 found at 26s
Seconds: 27, Iteration: 1490, Iteration per second: 55.185185, Best solution: 1565651 found at 26s
Seconds: 27, Iteration: 1500, Iteration per second: 55.555556, Best solution: 1565651 found at 26s
Seconds: 27, Iteration: 1510, Iteration per second: 55.925926, Best solution: 1565651 found at 26s
Seconds: 27, Iteration: 1520, Iteration per second: 56.296296, Best solution: 1565651 found at 26s
Seconds: 27, Iteration: 1530, Iteration per second: 56.666667, Best solution: 1566270 found at 27s
Seconds: 28, Iteration: 1540, Iteration per second: 55.000000, Best solution: 1566270 found at 27s
Seconds: 28, Iteration: 1550, Iteration per second: 55.357143, Best solution: 1566270 found at 27s
Seconds: 28, Iteration: 1560, Iteration per second: 55.714286, Best solution: 1566757 found at 28s
Seconds: 28, Iteration: 1570, Iteration per second: 56.071429, Best solution: 1567406 found at 28s
Seconds: 28, Iteration: 1580, Iteration per second: 56.428571, Best solution: 1567406 found at 28s
Seconds: 28, Iteration: 1590, Iteration per second: 56.785714, Best solution: 1567406 found at 28s
Seconds: 28, Iteration: 1600, Iteration per second: 57.142857, Best solution: 1567406 found at 28s
Seconds: 29, Iteration: 1610, Iteration per second: 55.517241, Best solution: 1567406 found at 28s
Seconds: 29, Iteration: 1620, Iteration per second: 55.862069, Best solution: 1567406 found at 28s
Seconds: 29, Iteration: 1630, Iteration per second: 56.206897, Best solution: 1568088 found at 29s
Seconds: 29, Iteration: 1640, Iteration per second: 56.551724, Best solution: 1568088 found at 29s
Seconds: 29, Iteration: 1650, Iteration per second: 56.896552, Best solution: 1568088 found at 29s
Seconds: 29, Iteration: 1660, Iteration per second: 57.241379, Best solution: 1568088 found at 29s
Seconds: 29, Iteration: 1670, Iteration per second: 57.586207, Best solution: 1568088 found at 29s
Seconds: 30, Iteration: 1680, Iteration per second: 56.000000, Best solution: 1568088 found at 29s
Seconds: 30, Iteration: 1690, Iteration per second: 56.333333, Best solution: 1568088 found at 29s
Seconds: 30, Iteration: 1700, Iteration per second: 56.666667, Best solution: 1568122 found at 30s
Seconds: 30, Iteration: 1710, Iteration per second: 57.000000, Best solution: 1568122 found at 30s
Seconds: 30, Iteration: 1720, Iteration per second: 57.333333, Best solution: 1568122 found at 30s
Seconds: 30, Iteration: 1730, Iteration per second: 57.666667, Best solution: 1568122 found at 30s
Seconds: 30, Iteration: 1740, Iteration per second: 58.000000, Best solution: 1568122 found at 30s
Seconds: 31, Iteration: 1750, Iteration per second: 56.451613, Best solution: 1568122 found at 30s
Seconds: 31, Iteration: 1760, Iteration per second: 56.774194, Best solution: 1568122 found at 30s
