Running GRASP algorithm...
Seconds: 1, Iteration: 10, Iteration per second: 10.000000, Best solution: 1257764 found at 1s
Seconds: 3, Iteration: 20, Iteration per second: 6.666667, Best solution: 1288726 found at 3s
Seconds: 4, Iteration: 30, Iteration per second: 7.500000, Best solution: 1292716 found at 3s
Seconds: 4, Iteration: 40, Iteration per second: 10.000000, Best solution: 1295848 found at 4s
Seconds: 5, Iteration: 50, Iteration per second: 10.000000, Best solution: 1296185 found at 5s
Seconds: 6, Iteration: 60, Iteration per second: 10.000000, Best solution: 1298838 found at 6s
Seconds: 6, Iteration: 70, Iteration per second: 11.666667, Best solution: 1298838 found at 6s
Seconds: 6, Iteration: 80, Iteration per second: 13.333333, Best solution: 1298838 found at 6s
Seconds: 7, Iteration: 90, Iteration per second: 12.857143, Best solution: 1299251 found at 6s
Seconds: 7, Iteration: 100, Iteration per second: 14.285714, Best solution: 1299535 found at 7s
Seconds: 7, Iteration: 110, Iteration per second: 15.714286, Best solution: 1299535 found at 7s
Seconds: 8, Iteration: 120, Iteration per second: 15.000000, Best solution: 1299545 found at 7s
Seconds: 8, Iteration: 130, Iteration per second: 16.250000, Best solution: 1299545 found at 7s
Seconds: 8, Iteration: 140, Iteration per second: 17.500000, Best solution: 1299919 found at 8s
Seconds: 8, Iteration: 150, Iteration per second: 18.750000, Best solution: 1299992 found at 8s
Seconds: 9, Iteration: 160, Iteration per second: 17.777778, Best solution: 1299992 found at 8s
Seconds: 9, Iteration: 170, Iteration per second: 18.888889, Best solution: 1299992 found at 8s
Seconds: 9, Iteration: 180, Iteration per second: 20.000000, Best solution: 1299992 found at 8s
Seconds: 9, Iteration: 190, Iteration per second: 21.111111, Best solution: 1299992 found at 8s
Seconds: 10, Iteration: 200, Iteration per second: 20.000000, Best solution: 1299992 found at 8s
Seconds: 10, Iteration: 210, Iteration per second: 21.000000, Best solution: 1299992 found at 8s
Seconds: 10, Iteration: 220, Iteration per second: 22.000000, Best solution: 1300807 found at 10s
Seconds: 10, Iteration: 230, Iteration per second: 23.000000, Best solution: 1300807 found at 10s
Seconds: 11, Iteration: 240, Iteration per second: 21.818182, Best solution: 1300807 found at 10s
Seconds: 11, Iteration: 250, Iteration per second: 22.727273, Best solution: 1301965 found at 11s
Seconds: 11, Iteration: 260, Iteration per second: 23.636364, Best solution: 1302044 found at 11s
Seconds: 12, Iteration: 270, Iteration per second: 22.500000, Best solution: 1302169 found at 12s
Seconds: 12, Iteration: 280, Iteration per second: 23.333333, Best solution: 1302169 found at 12s
Seconds: 12, Iteration: 290, Iteration per second: 24.166667, Best solution: 1302677 found at 12s
Seconds: 13, Iteration: 300, Iteration per second: 23.076923, Best solution: 1302677 found at 12s
Seconds: 13, Iteration: 310, Iteration per second: 23.846154, Best solution: 1302677 found at 12s
Seconds: 13, Iteration: 320, Iteration per second: 24.615385, Best solution: 1302999 found at 13s
Seconds: 13, Iteration: 330, Iteration per second: 25.384615, Best solution: 1302999 found at 13s
Seconds: 14, Iteration: 340, Iteration per second: 24.285714, Best solution: 1303020 found at 14s
Seconds: 14, Iteration: 350, Iteration per second: 25.000000, Best solution: 1303073 found at 14s
Seconds: 15, Iteration: 360, Iteration per second: 24.000000, Best solution: 1303073 found at 14s
Seconds: 15, Iteration: 370, Iteration per second: 24.666667, Best solution: 1303073 found at 14s
Seconds: 15, Iteration: 380, Iteration per second: 25.333333, Best solution: 1303075 found at 15s
Seconds: 15, Iteration: 390, Iteration per second: 26.000000, Best solution: 1303075 found at 15s
Seconds: 16, Iteration: 400, Iteration per second: 25.000000, Best solution: 1303075 found at 15s
Seconds: 16, Iteration: 410, Iteration per second: 25.625000, Best solution: 1303075 found at 15s
Seconds: 16, Iteration: 420, Iteration per second: 26.250000, Best solution: 1303180 found at 16s
Seconds: 16, Iteration: 430, Iteration per second: 26.875000, Best solution: 1303213 found at 16s
Seconds: 17, Iteration: 440, Iteration per second: 25.882353, Best solution: 1303213 found at 16s
Seconds: 17, Iteration: 450, Iteration per second: 26.470588, Best solution: 1303224 found at 17s
Seconds: 17, Iteration: 460, Iteration per second: 27.058824, Best solution: 1303224 found at 17s
Seconds: 18, Iteration: 470, Iteration per second: 26.111111, Best solution: 1303240 found at 17s
Seconds: 18, Iteration: 480, Iteration per second: 26.666667, Best solution: 1303347 found at 18s
Seconds: 18, Iteration: 490, Iteration per second: 27.222222, Best solution: 1303347 found at 18s
Seconds: 18, Iteration: 500, Iteration per second: 27.777778, Best solution: 1303347 found at 18s
Seconds: 19, Iteration: 510, Iteration per second: 26.842105, Best solution: 1303347 found at 18s
Seconds: 19, Iteration: 520, Iteration per second: 27.368421, Best solution: 1303347 found at 18s
Seconds: 19, Iteration: 530, Iteration per second: 27.894737, Best solution: 1303347 found at 18s
Seconds: 19, Iteration: 540, Iteration per second: 28.421053, Best solution: 1303347 found at 18s
Seconds: 20, Iteration: 550, Iteration per second: 27.500000, Best solution: 1303347 found at 18s
Seconds: 20, Iteration: 560, Iteration per second: 28.000000, Best solution: 1303347 found at 18s
Seconds: 20, Iteration: 570, Iteration per second: 28.500000, Best solution: 1303347 found at 18s
Seconds: 20, Iteration: 580, Iteration per second: 29.000000, Best solution: 1303347 found at 18s
Seconds: 21, Iteration: 590, Iteration per second: 28.095238, Best solution: 1303347 found at 18s
Seconds: 21, Iteration: 600, Iteration per second: 28.571429, Best solution: 1303358 found at 21s
Seconds: 21, Iteration: 610, Iteration per second: 29.047619, Best solution: 1303358 found at 21s
Seconds: 21, Iteration: 620, Iteration per second: 29.523810, Best solution: 1303442 found at 21s
